room_name,master_room_type,stt
Premier Apartment ,Apartment premier,
Apartment premier,Apartment premier,
Premier Apartment ,Apartment premier,
Apartment premier,Apartment premier,
Premier Apartment ,Apartment premier,
Apartment premier,Apartment premier,
Premium Apartment  ,Apartment premium ,2
Apartment premium ,Apartment premium ,
Premium Apartment  ,Apartment premium ,
Apartment premium ,Apartment premium ,
Premium Apartment  ,Apartment premium ,
Apartment premium ,Apartment premium ,
Premium Apartment  ,Apartment premium ,
Apartment premium ,Apartment premium ,
Premium Apartment  ,Apartment premium ,
Apartment premium ,Apartment premium ,
Residence Apartment ,Apartment residence ,2
Apartment residence ,Apartment residence ,
Residence Apartment ,Apartment residence ,
Apartment residence ,Apartment residence ,
Residence Apartment ,Apartment residence ,
Apartment residence ,Apartment residence ,
Residence Apartment ,Apartment residence ,
Apartment residence ,Apartment residence ,
Residence Apartment ,Apartment residence ,
Residence Apartment,Apartment residence ,
Apartment residence ,Apartment residence ,
Residence Apartment,Apartment residence ,
Apartment residence ,Apartment residence ,
Residence Apartment,Apartment residence ,
Apartment residence ,Apartment residence ,
Residence Apartment,Apartment residence ,
Apartment residence ,Apartment residence ,
Residence Apartment,Apartment residence ,
Apartment residence ,Apartment residence ,
Residence Apartment,Apartment residence ,
Suite Apartment ,Apartment Suite,2
Apartment Suite,Apartment Suite,
Suite Apartment ,Apartment Suite,
Apartment Suite,Apartment Suite,
Suite Apartment ,Apartment Suite,
Apartment Suite,Apartment Suite,
Suite Apartment ,Apartment Suite,
Apartment Suite,Apartment Suite,
Suite Apartment ,Apartment Suite,
Apartment Suite,Apartment Suite,
Superior apartment ,apartment Superior,2
apartment Superior,apartment Superior,
Superior apartment ,apartment Superior,
apartment Superior,apartment Superior,
Superior apartment ,apartment Superior,
apartment Superior,apartment Superior,
Superior apartment ,apartment Superior,
apartment Superior,apartment Superior,
Superior apartment ,apartment Superior,
apartment Superior,apartment Superior,
Business,Business,2
Business,Business,
Business,Business,
Business,Business,
Business,Business,
Business,Business,
Business,Business,
Business,Business,
Business,Business,
Business,Business,
Deluxe Business,Business Deluxe,2
Business Deluxe,Business Deluxe,
Deluxe Business,Business Deluxe,
Business Deluxe,Business Deluxe,
Deluxe Business,Business Deluxe,
Business Deluxe,Business Deluxe,
Deluxe Business,Business Deluxe,
Business Deluxe,Business Deluxe,
Deluxe Business,Business Deluxe,
Business Deluxe,Business Deluxe,
Suite Business,Business Suite,2
Business Suite,Business Suite,
Suite Business,Business Suite,
Business Suite,Business Suite,
Suite Business,Business Suite,
Business Suite,Business Suite,
Suite Business,Business Suite,
Business Suite,Business Suite,
Suite Business,Business Suite,
Business Suite,Business Suite,
Superior Business ,Business Superior,2
Business Superior,Business Superior,
Superior Business ,Business Superior,
Business Superior,Business Superior,
Superior Business ,Business Superior,
Business Superior,Business Superior,
Superior Business ,Business Superior,
Business Superior,Business Superior,
Superior Business ,Business Superior,
Business Superior,Business Superior,
Capsule,Capsule,2
Capsule,Capsule,
Capsule,Capsule,
Capsule,Capsule,
Capsule,Capsule,
Capsule,Capsule,
Capsule,Capsule,
Capsule,Capsule,
Capsule,Capsule,
Capsule,Capsule,
Classic,Classic,2
Classic,Classic,
Classic,Classic,
Classic,Classic,
Classic,Classic,
Classic,Classic,
Classic,Classic,
Classic,Classic,
Classic,Classic,
Classic,Classic,
Apartment Classic  ,Classic apartment ,2
Classic apartment ,Classic apartment ,
Apartment Classic  ,Classic apartment ,
Classic apartment ,Classic apartment ,
Apartment Classic  ,Classic apartment ,
Classic apartment ,Classic apartment ,
Apartment Classic  ,Classic apartment ,
Classic apartment ,Classic apartment ,
Apartment Classic  ,Classic apartment ,
Classic apartment ,Classic apartment ,
Deluxe classic  ,classic deluxe ,2
classic deluxe ,classic deluxe ,
Deluxe classic  ,classic deluxe ,
classic deluxe ,classic deluxe ,
Deluxe classic  ,classic deluxe ,
classic deluxe ,classic deluxe ,
Deluxe classic  ,classic deluxe ,
classic deluxe ,classic deluxe ,
Deluxe classic  ,classic deluxe ,
classic deluxe ,classic deluxe ,
Executive Classic   ,Classic executive  ,2
Classic executive  ,Classic executive  ,
Executive Classic   ,Classic executive  ,
Classic executive  ,Classic executive  ,
Executive Classic   ,Classic executive  ,
Classic executive  ,Classic executive  ,
Executive Classic   ,Classic executive  ,
Classic executive  ,Classic executive  ,
Executive Classic   ,Classic executive  ,
Classic executive  ,Classic executive  ,
Family classic ,classic Family,2
classic Family,classic Family,
Family classic ,classic Family,
classic Family,classic Family,
Family classic ,classic Family,
classic Family,classic Family,
Family classic ,classic Family,
classic Family,classic Family,
Family classic ,classic Family,
classic Family,classic Family,
Premium Classic ,Classic Premium,1
Classic Premium,Classic Premium,
Premium Classic ,Classic Premium,
Classic Premium,Classic Premium,
Premium Classic ,Classic Premium,
Classic Premium,Classic Premium,
Premium Classic ,Classic Premium,
Classic Premium,Classic Premium,
Premium Classic ,Classic Premium,
Classic Premium,Classic Premium,
Quadruple classic  ,classic quadruple ,2
classic quadruple ,classic quadruple ,
Quadruple classic  ,classic quadruple ,
classic quadruple ,classic quadruple ,
Quadruple classic  ,classic quadruple ,
classic quadruple ,classic quadruple ,
Quadruple classic  ,classic quadruple ,
classic quadruple ,classic quadruple ,
Quadruple classic  ,classic quadruple ,
classic quadruple ,classic quadruple ,
Studio classic ,classic studio,2
classic studio,classic studio,
Studio classic ,classic studio,
classic studio,classic studio,
Studio classic ,classic studio,
classic studio,classic studio,
Studio classic ,classic studio,
classic studio,classic studio,
Studio classic ,classic studio,
classic studio,classic studio,
Suite classic  ,classic suite ,2
classic suite ,classic suite ,
Suite classic  ,classic suite ,
classic suite ,classic suite ,
Suite classic  ,classic suite ,
classic suite ,classic suite ,
Suite classic  ,classic suite ,
classic suite ,classic suite ,
Suite classic  ,classic suite ,
classic suite ,classic suite ,
Club,Club,2
Club,Club,
Club,Club,
Club,Club,
Club,Club,
Club,Club,
Club,Club,
Club,Club,
Club,Club,
Club,Club,
Deluxe Club  ,Club deluxe ,2
Club deluxe ,Club deluxe ,
Deluxe Club  ,Club deluxe ,
Club deluxe ,Club deluxe ,
Deluxe Club  ,Club deluxe ,
Club deluxe ,Club deluxe ,
Deluxe Club  ,Club deluxe ,
Club deluxe ,Club deluxe ,
Deluxe Club  ,Club deluxe ,
Club deluxe ,Club deluxe ,
Executive Club  ,Club executive ,2
Club executive ,Club executive ,
Executive Club  ,Club executive ,
Club executive ,Club executive ,
Executive Club  ,Club executive ,
Club executive ,Club executive ,
Executive Club  ,Club executive ,
Club executive ,Club executive ,
Executive Club  ,Club executive ,
Club executive ,Club executive ,
Junior Club  Suite,Club Junior Suite,1
Suite Club Junior ,Club Junior Suite,
Club Junior Suite,Club Junior Suite,
Junior Club  Suite,Club Junior Suite,
Suite Club Junior ,Club Junior Suite,
Club Junior Suite,Club Junior Suite,
Junior Club  Suite,Club Junior Suite,
Suite Club Junior ,Club Junior Suite,
Club Junior Suite,Club Junior Suite,
Junior Club  Suite,Club Junior Suite,
Premier Club ,Club Premier,1
Club Premier,Club Premier,
Premier Club ,Club Premier,
Club Premier,Club Premier,
Premier Club ,Club Premier,
Club Premier,Club Premier,
Premier Club ,Club Premier,
Club Premier,Club Premier,
Premier Club ,Club Premier,
Club Premier,Club Premier,
Premium Club  ,Club premium ,2
Club premium ,Club premium ,
Premium Club  ,Club premium ,
Club premium ,Club premium ,
Premium Club  ,Club premium ,
Club premium ,Club premium ,
Premium Club  ,Club premium ,
Club premium ,Club premium ,
Premium Club  ,Club premium ,
Club premium ,Club premium ,
Studio Club ,Club studio,2
Club studio,Club studio,
Studio Club ,Club studio,
Club studio,Club studio,
Studio Club ,Club studio,
Club studio,Club studio,
Studio Club ,Club studio,
Club studio,Club studio,
Studio Club ,Club studio,
Club studio,Club studio,
