,bedType,bed,roomType,view,tuan,master_room_type,,,,room_name,stt
,Other,Other,Apartment,Other,Apartment,Apartment,,,,Apartment 5a ( 7 Pax),2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,Apartment 5b ( 6 Pax),2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,Apartment 6,2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,Apartment 6a ( 7 Pax),2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,Apartment 6b ( 6 Pax),2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,Apartment 7a ( 7 Pax),2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,Apartment 7b ( 6 Pax),2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,Apartment 8a ( 7pax),2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,Apartment 8b ( 6 Pax),2
,twin ,Other,Apartment,Other,Apartment,Apartment,,,,Apartment Capacity 4 Two Bedrooms,2
,single ,Other,Apartment,Other,Apartment,Apartment,,,,Apartment One Bedroom,2
,Other,queen ,Apartment,Other,Apartment,Apartment,,,,Apartment Queen Room,2
,triple ,Other,Apartment,Other,Apartment,Apartment,,,,Apartment Three Bedrooms,2
,double ,Other,Apartment,Other,Apartment,Apartment,,,,Apartment Two Bedrooms,2
,double ,Other,Apartment,Other,Apartment,Apartment,,,,Apartment Two Bedrooms Residence,2
,single ,Other,Apartment,Other,Apartment,Apartment,,,,Apartment With 1-Bedroom,2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,Apartment With Balcony,2
,single ,Other,Apartment,Other,Apartment,Apartment,,,,"Apartment, 1 Bedroom",2
,single ,Other,Apartment,Other,Apartment,Apartment,,,,"Apartment, 1 Bedroom ( #1 )",2
,single ,Other,Apartment,Other,Apartment,Apartment,,,,"Apartment, 1 Bedroom ( #2 )",2
,single ,Other,Apartment,Other,Apartment,Apartment,,,,"Apartment, 1 Bedroom, Balcony",2
,single ,Other,Apartment,Other,Apartment,Apartment,,,,"Apartment, 1 Bedroom, Non Smoking (Study)",2
,double twin ,Other,Apartment,Other,Apartment,Apartment,,,,"Apartment, 1 Double Or 2 Twin Beds",2
,Other,Other,Apartment,city ,Apartment,Apartment,,,,"Apartment, 2 Bedrooms, City View",2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,"Apartment, 2 Bedrooms, Shared Bathroom",2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,"Apartment, 3 Bedrooms",2
,single ,king ,Apartment,Other,Apartment,Apartment,,,,"Apartment, 3 Bedrooms (2 King And 3 Single Beds)",2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,"Apartment, Pool View",2
,Other,Other,Apartment,River,Apartment,Apartment,,,,"Apartment, River View",2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,Comfort Apartment,2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,01 Bedroom Apartment,2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,02 Bedroom Apartment,2
,Other,Other,Apartment,city ,Apartment,Apartment,,,,"City Apartment, 3 Bedrooms",2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,One Bedroom Apartment With Garden,2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,One Bedroom Apartment With Sofa Bed,2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,Skylark Apartment,2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,Skyline Series Two Bedroom Apartment,2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,Standard 2-Bedroom Apartment,2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,Standard Apartment,2
,Other,king ,Apartment,city ,Apartment,Apartment,,,,"Standard Apartment, 1 King Bed, Accessible, City View",2
,Other,Other,Apartment,city ,Apartment,Apartment,,,,"Standard Apartment, 2 Bedrooms, City View",2
,Other,Other,Apartment,city ,Apartment,Apartment,,,,"Standard Apartment, 2 Bedrooms, Non Smoking, City View",2
,Other,Other,Apartment,city ,Apartment,Apartment,,,,"Standard Apartment, 3 Bedrooms, Non Smoking, City View",2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,"Standard Apartment, Kitchen (1 Bedroom Garden View)",2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,"Standard Apartment, Kitchenette (2 Bedroom Garden View)",2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,Standard One-Bedroom Apartment,2
,triple ,Other,Apartment,Other,Apartment,Apartment,,,,Triple Room Apartment,2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,Two - Bedroom Apartment,2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,Two-Bedrooms Apartment,2
,single ,Other,Apartment,Other,Apartment,Apartment,,,,Apartment 1 Bedroom - Deluxe,2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,Apartment Penthouse,2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,2-Bedroom Quadruple Apartment - Non-Smoking,2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,2 Bedroom Standard Apartment,2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,Harbourside 2 Bedroom Apartment,2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,Three Bedroom Apartment,2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,Three Bedroom Apartment (5 Adults),2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,Three Bedroom Apartment (6 Adults),2
,Other,Other,Apartment,Other,Apartment,Apartment,,,,Two Bedroom Apartment,2
,Other,Other,Apartment deluxe ,city ,Apartment deluxe ,Apartment,,,deluxe,1 Bed Apartment Deluxe City,2
,Other,Other,Apartment deluxe ,Other,Apartment deluxe ,Apartment,,,deluxe,1 Bedroom Apartment Deluxe,2
,Other,Other,Apartment deluxe ,Other,Apartment deluxe ,Apartment,,,deluxe,1 Bedroom Deluxe Apartment,2
,Other,Other,Apartment deluxe ,Other,Apartment deluxe ,Apartment,,,deluxe,2 Bedroom Apartment Deluxe,2
,single ,Other,Apartment deluxe ,Other,Apartment deluxe ,Apartment,,,deluxe,Apartment 1 Bedroom Deluxe,2
,single ,Other,Apartment deluxe ,Other,Apartment deluxe ,Apartment,,,deluxe,Apartment 1 Bedroom-Deluxe,2
,double ,Other,Apartment deluxe ,Other,Apartment deluxe ,Apartment,,,deluxe,Apartment 2 Bedroom - Deluxe,2
,double ,Other,Apartment deluxe ,Other,Apartment deluxe ,Apartment,,,deluxe,Apartment 2 Bedroom Deluxe,2
,double ,Other,Apartment deluxe ,Other,Apartment deluxe ,Apartment,,,deluxe,Apartment 2 Bedrooms-Deluxe,2
,triple ,Other,Apartment deluxe ,Other,Apartment deluxe ,Apartment,,,deluxe,Apartment 3 Bedroom - Deluxe,2
,triple ,Other,Apartment deluxe ,Other,Apartment deluxe ,Apartment,,,deluxe,Apartment 3 Bedroom Deluxe,2
,triple ,Other,Apartment deluxe ,Other,Apartment deluxe ,Apartment,,,deluxe,Apartment 3 Bedrooms-Deluxe,2
,single ,Other,Apartment deluxe ,Other,Apartment deluxe ,Apartment,,,deluxe,Apartment Deluxe One Bedroom,2
,triple ,Other,Apartment deluxe ,Other,Apartment deluxe ,Apartment,,,deluxe,Apartment Deluxe Three Bedroom,2
,double ,Other,Apartment deluxe ,Other,Apartment deluxe ,Apartment,,,deluxe,Apartment Deluxe Two Bedroom,2
,single ,Other,Apartment deluxe ,Other,Apartment deluxe ,Apartment,,,deluxe,Apartment One Bedroom Deluxe,2
,double ,Other,Apartment deluxe ,Other,Apartment deluxe ,Apartment,,,deluxe,Apartment Two Bedroom Deluxe,2
,Other,Other,Apartment deluxe ,Other,Apartment deluxe ,Apartment,,,deluxe,Deluxe 2-Bedroom Apartment,2
,Other,Other,Apartment deluxe ,Other,Apartment deluxe ,Apartment,,,deluxe,Deluxe 2-Bedrooms Apartment,2
,Other,Other,Apartment deluxe ,Other,Apartment deluxe ,Apartment,,,deluxe,Deluxe Apartment,2
,Other,Other,Apartment deluxe ,Other,Apartment deluxe ,Apartment,,,deluxe,"Deluxe Apartment, 1 Bedroom",2
,Other,Other,Apartment deluxe ,Other,Apartment deluxe ,Apartment,,,deluxe,"Deluxe Apartment, 1 Bedroom, Kitchen",2
,Other,Other,Apartment deluxe ,Other,Apartment deluxe ,Apartment,,,deluxe,"Deluxe Apartment, 2 Bedrooms",2
,Other,Other,Apartment deluxe ,Other,Apartment deluxe ,Apartment,,,deluxe,"Deluxe Apartment, 2 Bedrooms, Kitchen",2
,Other,Other,Apartment deluxe ,Other,Apartment deluxe ,Apartment,,,deluxe,"Deluxe Apartment, 3 Bedrooms",2
,Other,Other,Apartment deluxe ,city ,Apartment deluxe ,Apartment,,,deluxe,"Deluxe Apartment, 3 Bedrooms, Non Smoking, City View",2
,twin single ,king queen ,Apartment deluxe ,city ,Apartment deluxe ,Apartment,,,deluxe,"Deluxe Apartment, 4 Bedrooms, City View (1 King , 1 Queen, 1 Twin And 1 Single)",2
,Other,Other,Apartment deluxe ,Other,Apartment deluxe ,Apartment,,,deluxe,"Deluxe Apartment, Alley View",2
,Other,Other,Apartment deluxe ,city ,Apartment deluxe ,Apartment,,,deluxe,"Deluxe Apartment, City View",2
,Other,Other,Apartment deluxe ,city ,Apartment deluxe ,Apartment,,,deluxe,"Deluxe Apartment, Kitchenette, City View",2
,Other,Other,Apartment deluxe ,Other,Apartment deluxe ,Apartment,,,deluxe,2 Bedroom Deluxe Apartment,2
,Other,Other,Apartment deluxe ,Other,Apartment deluxe ,Apartment,,,deluxe,Deluxe One Bedroom Apartment,2
,Other,Other,Apartment deluxe ,Other,Apartment deluxe ,Apartment,,,deluxe,Deluxe Two Bedroom Apartment,2
,Other,Other,Apartment deluxe ,Other,Apartment deluxe ,Apartment,,,deluxe,1 Bedroom Grand Deluxe Apartment,2
,Other,Other,Apartment deluxe ,Other,Apartment deluxe ,Apartment,,,deluxe,1-Bedroom Grand Deluxe Apartment,2
,Other,Other,Apartment deluxe ,Other,Apartment deluxe ,Apartment,,,deluxe,2-Bedroom Deluxe Apartment,2
,Other,Other,Apartment deluxe ,Other,Apartment deluxe ,Apartment,,,,3 Bedroom Deluxe Apartment,2
,single ,Other,Apartment Executive,Other,Apartment Executive,Apartment,,Executive,,Apartment 1 Bedroom Executive,2
,single ,Other,Apartment Executive,Other,Apartment Executive,Apartment,,Executive,,Apartment 1 Bedroom - Club Room - Executive,2
,single ,Other,Apartment Executive,Other,Apartment Executive,Apartment,,Executive,,Apartment 1 Bedroom - Executive,2
,single ,Other,Apartment Executive,Other,Apartment Executive,Apartment,,Executive,,Apartment 1 Bedroom Excecutive,2
,double ,Other,Apartment Executive,Other,Apartment Executive,Apartment,,Executive,,Apartment 2 Bedroom - Club Room - Executive,2
,double ,Other,Apartment Executive,Other,Apartment Executive,Apartment,,Executive,,Apartment 2 Bedroom - Executive,2
,double ,Other,Apartment Executive,Other,Apartment Executive,Apartment,,Executive,,Apartment 2 Bedroom Executive,2
,double ,Other,Apartment Executive,Other,Apartment Executive,Apartment,,Executive,,Apartment 2 Bedrooms-Executive,2
,single ,Other,Apartment Executive,Other,Apartment Executive,Apartment,,Executive,,Apartment Executive One Bedroom,2
,triple ,Other,Apartment Executive,Other,Apartment Executive,Apartment,,Executive,,Apartment Executive Three Bedrooms,2
,double ,Other,Apartment Executive,Other,Apartment Executive,Apartment,,Executive,,Apartment Executive Two Bedrooms,2
,single ,Other,Apartment Executive,Other,Apartment Executive,Apartment,,Executive,,Apartment One Bedroom Executive,2
,double ,Other,Apartment Executive,Other,Apartment Executive,Apartment,,Executive,,Apartment Two Bedroom Executive,2
,Other,Other,Apartment Executive,Other,Apartment Executive,Apartment,,Executive,,1 Bedroom Executive Apartment,2
,Other,Other,Apartment Executive,Other,Apartment Executive,Apartment,,Executive,,3 Bedroom Executive Apartment,2
,Other,Other,Apartment Executive,Other,Apartment Executive,Apartment,,Executive,,Executive Apartment,2
,Other,Other,Apartment Executive,Other,Apartment Executive,Apartment,,Executive,,"Executive Apartment, 1 Bedroom",2
,Other,Other,Apartment Executive,Other,Apartment Executive,Apartment,,Executive,,"Executive Apartment, 1 Bedroom, Kitchen",2
,Other,Other,Apartment Executive,Other,Apartment Executive,Apartment,,Executive,,"Executive Apartment, 2 Bedrooms",2
,Other,Other,Apartment Executive,Other,Apartment Executive,Apartment,,Executive,,"Executive Apartment, 2 Bedrooms, Kitchen",2
,Other,Other,Apartment Executive,city ,Apartment Executive,Apartment,,Executive,,"Executive Apartment, 3 Bedrooms, Private Bathroom, City View",2
,Other,Other,Apartment Executive,Other,Apartment Executive,Apartment,,Executive,,2 Bedroom Executive Apartment,2
,Other,Other,suite ,Other,Apartment Family Suite,Apartment,,,Suite,"Apartment 3 Bedroom, Family Suite, Subject To Availability",1
,Other,Other,suite ,Other,Apartment Family Suite,Apartment,,,Suite,Family 1 Bedroom Suite Apartment,1
,Other,Other,suite ,Other,Apartment Family Suite,Apartment,,,Suite,"Apartment 2 Bedroom Upgrade To Family Suite, Subject To Availability",1
,Other,Other,suite ,Other,Apartment Family Suite,Apartment,,,Suite,"Apartment 1 Bedroom Upgrade To Family Suite, Subject To Availability",1
,Other,Other,suite ,Other,Apartment Family Suite,Apartment,,,Suite,Family Suite Apartment,1
,single ,Other,Apartment premier,Other,Apartment premier,Apartment,,premier,,Apartment 1 Bedroom-Premier,2
,single ,Other,Apartment premier,Other,Apartment premier,Apartment,,premier,,Apartment Premier One Bedroom,2
,double ,Other,Apartment premier,Other,Apartment premier,Apartment,,premier,,Apartment Premier Two Bedrooms,2
,single ,Other,Apartment premier,Other,Apartment premier,Apartment,,premier,,Apartment 1 Bedroom - Premier,2
,single ,Other,Apartment premier,Other,Apartment premier,Apartment,,premier,,Apartment 1-Bedroom Premier,2
,double ,Other,Apartment premier,Other,Apartment premier,Apartment,,premier,,Apartment 2 Bedroom - Club Room - Premier,2
,double ,Other,Apartment premier,Other,Apartment premier,Apartment,,premier,,Apartment 2 Bedroom - Premier,2
,double ,Other,Apartment premier,Other,Apartment premier,Apartment,,premier,,Apartment 2 Bedroom Premier,2
,double ,Other,Apartment premier,Other,Apartment premier,Apartment,,premier,,Apartment 2 Bedrooms-Premier,2
,double ,Other,Apartment premier,Other,Apartment premier,Apartment,,premier,,Apartment 2-Bedroom Premier,2
,triple ,Other,Apartment premier,Other,Apartment premier,Apartment,,premier,,Apartment 3 Bedroom Premier,2
,triple ,Other,Apartment premier,Other,Apartment premier,Apartment,,premier,,Apartment 3 Bedrooms-Premier,2
,single ,Other,Apartment premier,Other,Apartment premier,Apartment,,premier,,Apartment One Bedroom Premier,2
,double ,Other,Apartment premier,Other,Apartment premier,Apartment,,premier,,Apartment Two Bedroom Premier,2
,Other,Other,Apartment premier,Other,Apartment premier,Apartment,,premier,,2 Bedroom Premier Apartment,2
,Other,Other,Apartment premier,Other,Apartment premier,Apartment,,premier,,Premier 2-Bedroom Apartment,2
,Other,Other,Apartment premier,Other,Apartment premier,Apartment,,premier,,Premier Apartment,2
,Other,Other,Apartment premier,Other,Apartment premier,Apartment,,premier,,"Premier Apartment, 1 Bedroom",2
,Other,Other,Apartment premier,Other,Apartment premier,Apartment,,premier,,"Premier Apartment, 1 Bedroom, Kitchen",2
,Other,Other,Apartment premier,Other,Apartment premier,Apartment,,premier,,"Premier Apartment, 1 King Bed, Kitchen",2
,Other,Other,Apartment premier,Other,Apartment premier,Apartment,,premier,,Premier One Bedroom Apartment With Study Room,2
,Other,Other,Apartment premier,Other,Apartment premier,Apartment,,premier,,1 Bedroom Premier Apartment,2
,Other,Other,Apartment premier,Other,Apartment premier,Apartment,,premier,,2-Bedroom Premier Apartment,2
,double ,Other,Apartment premium ,Other,Apartment premium ,Apartment,,premium,,Apartment 2 Bedroom - Premium,2
,Other,Other,Apartment premium ,Other,Apartment premium ,Apartment,,premium,,Premium 2-Bedroom Apartment,2
,Other,Other,Apartment premium ,Other,Apartment premium ,Apartment,,premium,,"Premium Apartment, 3 Bedrooms, Pool View",2
,single ,Other,Apartment residence ,Other,Apartment residence ,Apartment,residence,,,Apartment 1 Bedroom-Residence,2
,double ,Other,Apartment residence ,Other,Apartment residence ,Apartment,residence,,,Apartment 2 Bedrooms-Residence,2
,single ,Other,Apartment residence ,Other,Apartment residence ,Apartment,residence,,,Apartment One Bedroom Residence,2
,Other,Other,suite ,Other,Apartment Suite,Apartment,,,Suite,Family 2 Bedroom  Suite Apartment,1
,Other,Other,suite ,Other,Apartment Suite,Apartment,,,Suite,2 Bedroom Suite Apartments,1
,Other,Other,suite ,Other,Apartment Suite,Apartment,,,Suite,Apartment Suite 2 Bedroom,1
,Other,Other,suite ,Other,Apartment Suite,Apartment,,,Suite,Suite Apartment 2 Bedroom,1
,Other,Other,suite ,Other,Apartment Suite,Apartment,,,Suite,3 Bedroom Suite Apartment,1
,Other,Other,suite ,Other,Apartment Suite,Apartment,,,Suite,Apartment Suite 3 Bedroom,1
,Other,Other,suite ,Other,Apartment Suite,Apartment,,,Suite,Suite Apartment 2 Bedroom,1
,Other,Other,suite ,Other,Apartment Suite,Apartment,,,Suite,1 Bedroom Suite Apartment,1
,Other,Other,suite ,Other,Apartment Suite,Apartment,,,Suite,Apartment Suite,1
,Other,Other,suite ,Other,Apartment Suite,Apartment,,,Suite,Suite Apartment,1
,Other,Other,Apartment suite ,Other,Apartment Suite,Apartment,,,,Apartment Suite,2
,Other,Other,Apartment suite ,Other,Apartment Suite,Apartment,,,,Apartment Suite.,2
,single ,Other,Apartment suite ,Other,Apartment Suite,Apartment,,,,"Apartment, 1 Bedroom (Brown Suite)",2
,Other,Other,Apartment suite ,Other,Apartment Suite,Apartment,,,,Suite One Bedroom Apartment,2
,Other,Other,apartment Superior,Other,apartment Superior,Apartment,Superior,,,Superior 1-Bedroom Apartment,2
,Other,Other,apartment Superior,Other,apartment Superior,Apartment,Superior,,,Superior Apartment,2
,Other,Other,apartment Superior,city ,apartment Superior,Apartment,Superior,,,"Superior Apartment, 1 Bedroom, Accessible, City View",2
,twin single ,Other,apartment Superior,city ,apartment Superior,Apartment,Superior,,,"Superior Apartment, 3 Bedrooms, City View (1 King , 1 Twin And 1 Single)",2
,Other,Other,apartment Superior,Other,apartment Superior,Apartment,Superior,,,Superior One-Bedroom Apartment,2
,Other,Other,apartment Superior,Other,apartment Superior,Apartment,Superior,,,Superior Room With Window,2
,Other,Other,apartment Superior,Other,apartment Superior,Apartment,Superior,,,Superior Room Without Breakfast,2
,single ,Other,apartment Superior,Other,apartment Superior,Apartment,Superior,,,Apartment 1 Bedroom - Superior,2
,double ,Other,apartment Superior,Other,apartment Superior,Apartment,Superior,,,Apartment 2 Bedroom - Superior,2
,single ,Other,apartment Superior,Other,apartment Superior,Apartment,Superior,,,Apartment Superior One Bedroom,2
,double ,Other,apartment Superior,Other,apartment Superior,Apartment,Superior,,,Apartment Superior Two Bedrooms,2
,Other,Other,apartment Superior,Other,apartment Superior,Apartment,Superior,,,1 Bedroom Superior Apartment,2
,Other,Other,apartment Superior,Other,apartment Superior,Apartment,Superior,,,2 Bedroom Superior Apartment,2
,Other,Other,Classic apartment ,Other,Classic apartment ,Apartment,,,,"Classic Apartment, 1 Bedroom, Kitchen",2
,Other,Other,Classic apartment ,Other,Classic apartment ,Apartment,,,,Classic One Bedroom Apartment,2
,Other,Other,executive suite ,Other,Executive Apartment Suite,Apartment,,,,Executive Suite Apartment ,1
,Other,Other,executive suite ,Other,Executive Apartment Suite,Apartment,,,,Executive Suite Apartment room,1
,twin ,Other,executive suite ,Other,Executive Apartment Suite,Apartment,,,,Executive Suite Apartment twin,1
,double ,Other,executive suite ,Other,Executive Apartment Suite,Apartment,,,,Executive Suite Apartment double,1
,double twin ,Other,executive suite ,Other,Executive Apartment Suite,Apartment,,,,Executive Suite Apartment twin/double,1
,double twin ,Other,executive suite ,Other,Executive Apartment Suite,Apartment,,,,Executive Suite Apartment double/twin,1
,double twin ,Other,executive suite ,Other,Executive Apartment Suite,Apartment,,,,Executive Suite Apartment twin/double room,1
,double twin ,Other,executive suite ,Other,Executive Apartment Suite,Apartment,,,,Executive Suite Apartment double/twin room,1
,Other,Other,studio apartment ,Other,studio apartment ,Apartment,,,,Quad Studio Apartment,2
,Other,Other,studio apartment ,Other,studio apartment ,Apartment,,,,Studio Apartment,2
,Other,Other,studio apartment ,Other,studio apartment ,Apartment,,,,Studio Apartment King Bed,2
,Other,Other,studio apartment ,Other,studio apartment ,Apartment,,,,Studio Apartment With Balcony,2
,Other,king ,Business,Other,Business,Business,,,,1 King Business Nonsmoking,2
,Other,Other,Business,Other,Business,Business,,,,Business,2
,Other,Other,Business,Other,Business,Business,,,,Business Class,2
,double ,Other,Business,Other,Business,Business,,,,Business Double Room,2
,Other,king ,Business,Other,Business,Business,,,,Business King,2
,Other,queen ,Business,Other,Business,Business,,,,Business Queen,2
,Other,Other,Business,Other,Business,Business,,,,Business Room,2
,Other,king ,Business,Other,Business,Business,,,,"Business Room, 1 King Bed, Non Smoking",2
,Other,Other,Business,Other,Business,Business,,,,"Business Room, Garden View",2
,Other,Other,Business,Other,Business,Business,,,,"Business Room, Park View",2
,twin ,Other,Business,Other,Business,Business,,,,Business Twin,2
,double ,Other,Business,Other,Business,Business,,,,Double Business,2
,double twin ,Other,Business,Other,Business,Business,,,,Double Or Twin Business,2
,double ,Other,Business,Other,Business,Business,,,,Double Room - Business,2
,double ,king ,Business,Other,Business,Business,,,,Double Room King Bed - Business,2
,double ,Other,Business,Other,Business,Business,,,,One Bed Room Business - Double,2
,Other,Other,Business,Other,Business,Business,,,,The Business,2
,Other,Other,Business Deluxe,Other,Business Deluxe,Business,,,Deluxe,Business Deluxe,2
,Other,Other,Business Deluxe,Other,Business Deluxe,Business,,,Deluxe,Business Deluxe Room,2
,double twin ,Other,Business Deluxe,Other,Business Deluxe,Business,,,Deluxe,Double Or Twin Business Deluxe,2
,Other,Other,suite ,Other,Business Suite,Business,,,Suite,Business Suite,1
,Other,Other,Business Suite,Other,Business Suite,Business,,,Suite,Business Suite,2
