,bedType,bed,roomType,view,master_room_type,,,room_name,stt
,double ,queen ,classic ,Other,Classic,,,Double Room Queen Bed - Classic,1
,double twin  ,Other,classic ,Other,Classic,,,Classic Double Or Twin Room,1
,double twin  ,Other,classic ,Other,Classic,,,Double Or Twin Classic,1
,double twin  ,Other,classic ,Other,Classic,,,Twin/Double Room - Classic,1
,single ,Other,classic ,Other,Classic,,,Classic Room 4 Person (Super Single Bed),1
,twin ,Other,classic ,Other,Classic,,,Twin Classic,1
,twin ,Other,classic ,Other,Classic,,,Twin Room - Classic,1
,Other,Other,classic ,Other,Classic,,,Classic Room,1
,double ,Other,classic premium ,City,Classic Premium,,,Classic Premium Double Room With No View,1
,double ,Other,classic premium ,City,Classic Premium,,,Classic Premium Double Room With City View,1
,double twin ,Other,classic premium ,Other,Classic Premium,,,Double Or Twin Classic Premium,1
,single ,Other,classic premium ,Other,Classic Premium,,,Classic Premium Single Room With City View,1
,single  twin ,Other,classic premium ,Other,Classic Premium,,,Single Or Twin Classic Premium,1
,twin ,Other,classic premium ,Other,Classic Premium,,,"Classic Premium Room, 3 Twin Beds",1
,twin ,Other,classic premium ,Other,Classic Premium,,,"Classic Premium Room, 2 Twin Beds",1
,Other,Other,classic premium ,Other,Classic Premium,,,Classic Premium,1
,double ,Other,Other,Other,Club,Club,,Double Club,1
,double ,Other,Other,Other,Club,Club,,Double Club Room Plus,1
,double ,Other,Other,Towers,Club,Club,,Double Club Twin Towers View Room,1
,double ,Other,Other,Towers,Club,Club,,Double Club Twin-Tower View,1
,double ,Other,Other,Other,Club,Club,,Double Room - Club Room,1
,double twin ,Other,Other,Other,Club,Club,,Double Or Twin Club,1
,double twin ,Other,Other,Other,Club,Club,,Twin/Double Room - Club Room,1
,single ,Other,Other,Other,Club,Club,,2 Single Club Nonsmoking,1
,twin ,Other,Other,Other,Club,Club,,Club Twin,1
,twin ,Other,Other,Other,Club,Club,,Club Twin Room,1
,twin ,Other,Other,Other,Club,Club,,Club Twin Room With View,1
,twin ,Other,Other,Other,Club,Club,,Twin Club,1
,twin ,Other,Other,Other,Club,Club,,Twin Club Room Plus,1
,twin ,Other,Other,Towers,Club,Club,,Twin Club Towers View,1
,twin ,Other,Other,Other,Club,Club,,Twin Royal Club,1
,Other,Other,Other,Other,Club,Club,,Club,1
,Other,Other,Other,Other,Club,Club,,Club Room With Club Benefits,1
,Other,Other,Other,Other,Club,Club,,Club Twin Towers View,1
,Other,Other,Other,Other,Club,Club,,Club With Club Benefits,1
,Other,king ,Other,Garden,Club,Club,,Club Garden View King,1
,Other,king ,Other,Other,Club,Club,,Club King,1
,Other,king ,Other,Other,Club,Club,,Club King Room,1
,Other,king ,Other,Other,Club,Club,,Club King View,1
,Other,king ,Other,Other,Club,Club,,"Club Room, 1 King Bed, Smoking",1
,Other,king ,Other,Other,Club,Club,,Club Tower King Room,1
,Other,king ,Other,Other,Club,Club,,Double Room King Bed - Club Room,1
,Other,queen ,suite ,Other,Club Junior Suite,Club,,Club Junior Suite With Queen Bed - Club Lounge Access For Adults Only,1
,Other,king ,suite ,Other,Club Junior Suite,Club,,Club Junior Suite With King  - Club Lounge Access For Adults Only,1
,Other,queen ,suite ,Other,Club Junior Suite,Club,,Club Junior Suite With Queen - Club Lounge Access For Adults Only,1
,Other,king ,suite ,Other,Club Junior Suite,Club,,Club Junior Suite With King Bed - Club Lounge Access For Adults Only,1
,Other,queen ,suite ,Other,Club Junior Suite,Club,,Club Junior Suite With Queen – Club,1
,Other,king ,suite ,Other,Club Junior Suite,Club,,Club Junior Suite With King Bed – Club,1
,Other,queen ,suite ,Other,Club Junior Suite,Club,,Club Junior Suite With Queen Bed,1
,Other,king ,suite ,Other,Club Junior Suite,Club,,Club Junior Suite With King – Club,1
,Other,queen ,suite ,Other,Club Junior Suite,Club,,Club Junior Suite With Queen,1
,Other,king ,suite ,Other,Club Junior Suite,Club,,Club Junior Suite With King Bed,1
,Other,queen ,premier ,Other,Club Premier,Club,,Club Room - Premier,1
,twin ,Other,premier ,Other,Club Premier,Club,,Twin Room - Club Room - Premier,1
,double  ,Other,premier ,Other,Club Premier,Club,,Double - Club Premier ,1
,single ,Other,premier ,Other,Club Premier,Club,,Single Orchid Club Premier,1
,Other,queen ,premier ,Other,Club Premier,Club,,Club - Premier,1
,twin ,Other,premier ,Other,Club Premier,Club,,Twin Room - Club  - Premier,1
,double  ,Other,premier ,Other,Club Premier,Club,,Double - Club Premier Room,1
,Other,Other,premier ,Other,Club Premier,Club,,Orchid Club Premier,1
,double twin ,king ,premier ,Other,Club Premier,Club,,Twin/Double King Room - Club Room - Premier,1
,double twin ,queen ,premier ,Other,Club Premier,Club,,Twin/Double Queen Room - Club Room - Premier,1
,double twin ,Other,premier ,Other,Club Premier,Club,,Twin/Double Room - Club Room - Premier,1
,double twin  ,Other,premier ,Other,Club Premier,Club,,Twin/Double Orchid Club Premier ,1
,twin ,Other,premier ,Other,Club Premier,Club,,Twin Orchid Club Premier,1
,double twin ,Other,deluxe ,Other,Corporate Deluxe,Corporate,,Twin/Double Room Corporate Deluxe,1
,Other,Other,deluxe ,Other,Corporate Deluxe,Corporate,,Corporate Deluxe Hotel,1
,single twin ,Other,executive suite ,Other,Corporate Executive Suite,Corporate,,Corporate Executive Suite Single/Double Room,1
,Other,Other,executive suite ,Other,Corporate Executive Suite,Corporate,,Corporate Executive Suite Hotel,1
,double ,Other,deluxe ,Other,Corporate Deluxe,Corporate,,Double Room Corporate Deluxe,1
,Other,Other,deluxe ,Other,Corporate Deluxe,Corporate,,Corporate Deluxe Hotels,1
,double twin ,Other,executive suite ,Other,Corporate Executive Suite,Corporate,,Corporate Executive Suite Twin/Double Room,1
,Other,Other,executive suite ,Other,Corporate Executive Suite,Corporate,,Corporate Executive Suite room Hotel ,1
,double ,Other,executive suite ,Other,Corporate Executive Suite,Corporate,,Corporate Executive Suite Double Room,1
,twin ,Other,executive suite ,Other,Corporate Executive Suite,Corporate,,Corporate Executive Suite Twin Room,1
,double twin ,Other,deluxe ,Other,Corporate Deluxe,Corporate,,Twin/Double Corporate Deluxe,1
,double twin ,Other,deluxe ,Other,Corporate Deluxe,Corporate,,Twin/Double room Corporate Deluxe,1
,double twin ,Other,deluxe ,Other,Corporate Deluxe,Corporate,,Twin/Double rooms Corporate Deluxe,1
,Other,Other,deluxe ,Other,Corporate Deluxe,Corporate,,Corporate Deluxe,1
,double twin ,Other,executive suite ,Other,Corporate Executive Suite,Corporate,,Corporate Executive Suite Twin/Double,1
,Other,Other,executive suite ,Other,Corporate Executive Suite,Corporate,,Corporate Executive Suite,1
,double ,Other,Other,Other,Deluxe,,,De Luxe Double Bed Room,1
,double ,Other,Other,Other,Deluxe,,,Deluxe - Double,1
,double ,Other,Other,Other,Deluxe,,,Deluxe Double,1
,double ,Other,Other,Other,Deluxe,,,Deluxe Double Room,1
,double ,Other,Other,Other,Deluxe,,,"Deluxe Double Room, 1 Queen Bed",1
,double ,Other,Other,City,Deluxe,,,"Deluxe Double Room, City View",1
,double ,Other,Other,Other,Deluxe,,,"Deluxe Double Room, No Windows",1
,double ,Other,Other,Other,Deluxe,,,Deluxe Double Window,1
,double ,Other,Other,Other,Deluxe,,,"Deluxe Room, 1 Double Bed",1
,double ,Other,Other,Other,Deluxe,,,"Deluxe Zen Double, 1 Queen Bed",1
,double ,Other,Other,Other,Deluxe,,,Double Deluxe,1
,double ,Other,Other,Other,Deluxe,,,Double Luxe,1
,double ,Other,Other,Other,Deluxe,,,Double Luxe-Crib,1
,double ,Other,Other,Other,Deluxe,,,Double Room - Deluxe,1
,double ,Other,Other,Other,Deluxe,,,Double Room Deluxe,1
,double ,Other,Other,Other,Deluxe,,,Double Twin-Tower View Deluxe,1
,double ,king ,Other,Other,Deluxe,,,Double Deluxe King,1
,double ,king ,Other,Other,Deluxe,,,Double Deluxe King Bed,1
,double ,king ,Other,Other,Deluxe,,,Double Room King Bed - Deluxe,1
,double ,king ,Other,Other,Deluxe,,,Deluxe Double Or King Room,1
,double single ,Other,Other,Other,Deluxe,,,"Deluxe Room, 1 Double Or 2 Single Bed",1
,double single ,Other,Other,Other,Deluxe,,,"Deluxe Room, 1 Double Or 2 Single Beds",1
,double single ,Other,Other,Other,Deluxe,,,"Deluxe Room, 1 Double Or 2 Single Beds With Big Window",1
,double single ,Other,Other,Other,Deluxe,,,Deluxe Single / Double,1
,double single ,Other,Other,Other,Deluxe,,,Deluxe Single Or Double Room,1
,double twin ,Other,Other,Other,Deluxe,,,Deluxe (Double Or Twin Bed),1
,double twin ,Other,Other,Other,Deluxe,,,Deluxe Double Or Twin,1
,double twin ,Other,Other,Other,Deluxe,,,Deluxe Double Or Twin Bed,1
,double twin ,Other,Other,City,Deluxe,,,"Deluxe Double Or Twin Room, City View",1
,double twin ,Other,Other,Other,Deluxe,,,Deluxe Double/Twin,1
,double twin ,Other,Other,Other,Deluxe,,,Double Or Twin Deluxe,1
,double twin ,Other,Other,Other,Deluxe,,,Twin/double Room - Deluxe,1
,double twin ,Other,Other,Other,Deluxe,,,Twin/Double Room - Deluxe - Balcony,1
,double twin ,Other,Other,Other,Deluxe,,,Twin/Double Room - Deluxe - Tower,1
,single ,Other,Other,Other,Deluxe,,,2 Single Beds Deluxe,1
,single ,Other,Other,Other,Deluxe,,,2 Single Deluxe Smoking,1
,single ,Other,Other,Other,Deluxe,,,Deluxe 2 Single Beds,1
,single ,Other,Other,Other,Deluxe,,,Deluxe Room 2 Single Beds,1
,single ,Other,Other,Other,Deluxe,,,"Deluxe Room, 2 Single Beds",1
,single ,Other,Other,Other,Deluxe,,,Deluxe Single,1
,single ,Other,Other,Other,Deluxe,,,Deluxe Single Room,1
,twin ,king ,Other,Other,Deluxe,,,Corporate Deluxe King Or Twin,1
,twin ,king ,Other,Other,Deluxe,,,Deluxe King Or Twin Room With Window,1
,twin ,king ,Other,Other,Deluxe,,,Deluxe Twin/King,1
,twin ,Other,deluxe ,Other,Deluxe,,,Twin Deluxe Plus,1
,Other,Other,Other,Other,Deluxe,,,*Deluxe,1
,Other,Other,Other,Other,Deluxe,,,1 Bedroom Deluxe,1
,Other,Other,Other,Other,Deluxe,,,Deluxe,1
,Other,Other,Other,Other,Deluxe,,,Deluxe - No Window,1
,Other,Other,Other,Other,Deluxe,,,Deluxe Balcony Room,1
,Other,Other,Other,Other,Deluxe,,,Deluxe No Window,1
,Other,Other,Other,Other,Deluxe,,,Deluxe One Bedroom Studio,1
,Other,Other,Other,Other,Deluxe,,,Deluxe Plus Room - Room Only (Bar).,1
,Other,Other,Other,Other,Deluxe,,,Deluxe Plus Room - Room With Breakfast (Bar),1
,Other,Other,Other,Other,Deluxe,,,Deluxe Room,1
,Other,Other,Other,Other,Deluxe,,,Deluxe Room (Newly Renovated!),1
,Other,Other,Other,Other,Deluxe,,,Deluxe Room (Newly Renovated),1
,Other,Other,Other,Other,Deluxe,,,Deluxe Room (No View) - Room Only (Bar),1
,Other,Other,Other,Other,Deluxe,,,Deluxe Room (No View) - Room With Breakfast (Bar),1
,Other,Other,Other,Sea,Deluxe,,,Deluxe Room (Non Seaview),1
,Other,Other,Other,Towers,Deluxe,,,Deluxe Room (Twin Tower View),1
,Other,Other,Other,Other,Deluxe,,,Deluxe Room - Klcc View,1
,Other,Other,Other,Other,Deluxe,,,Deluxe Room Bbf - Klcc View,1
,Other,Other,Other,Other,Deluxe,,,Deluxe Room With Breakfast,1
,Other,Other,Other,Other,Deluxe,,,Deluxe Room With Window,1
,Other,Other,Other,Other,Deluxe,,,"Deluxe Room, 1 Bedroom",1
,Other,Other,Other,City,Deluxe,,,"Deluxe Room, City View",1
,Other,Other,Other,Other,Deluxe,,,"Deluxe Room, Connecting Rooms",1
,Other,Other,Other,Other,Deluxe,,,"Deluxe Room, Non Smoking",1
,Other,Other,Other,Sea,Deluxe,,,"Deluxe Room, Sea View",1
,Other,Other,Other,Towers,Deluxe,,,"Deluxe Room, View (Twin Towers)",1
,Other,Other,Other,Other,Deluxe,,,Deluxe Room.,1
,Other,Other,Other,Towers,Deluxe,,,Deluxe Twin Towers View,1
,Other,Other,Other,Other,Deluxe,,,Deluxe With Breakfast,1
,Other,Other,Other,Other,Deluxe,,,Deluxe With Window,1
,Other,Other,Other,Other,Deluxe,,,Deluxe.,1
,Other,Other,Other,Other,Deluxe,,,Luxe,1
,Other,Other,Other,Other,Deluxe,,,Luxe Room,1
,Other,king ,Other,Other,Deluxe,,,Deluxe (King),1
,Other,king ,Other,Other,Deluxe,,,Deluxe King,1
,Other,king ,Other,Other,Deluxe,,,Deluxe King - 4 Hours,1
,Other,king ,Other,Other,Deluxe,,,Deluxe King Room,1
,Other,king ,Other,Other,Deluxe,,,Deluxe Room 1 King Bed,1
,Other,king ,Other,Other,Deluxe,,,Deluxe Room Renovated - King Bed (Ns),1
,Other,king ,Other,Other,Deluxe,,,"Deluxe Room, 1 King Bed",1
,Other,king ,Other,Other,Deluxe,,,"Deluxe Room, 1 King Bed / 2 Single Beds(Orchid)",1
,Other,king ,Other,City,Deluxe,,,"Deluxe Room, 1 King Bed, City View",1
,Other,king ,Other,Garden,Deluxe,,,"Deluxe Room, 1 King Bed, Garden View",1
,Other,king ,Other,Other,Deluxe,,,King Deluxe,1
,Other,king ,Other,Towers,Deluxe,,,Traders Twin Towers King,1
,Other,king ,Other,Other,Deluxe,,,Traders Twin Towers View 1 King,1
,Other,queen ,Other,Other,Deluxe,,,Corporate Deluxe Queen,1
,Other,queen ,Other,Other,Deluxe,,,Deluxe Queen,1
,Other,queen ,Other,Other,Deluxe,,,Deluxe Queen Room,1
,Other,queen ,Other,Other,Deluxe,,,Deluxe Queen Room With Window,1
,Other,queen ,Other,Other,Deluxe,,,Deluxe Queen Room Without Window,1
,Other,queen ,Other,Other,Deluxe,,,Deluxe Queen.,1
,Other,queen ,Other,Other,Deluxe,,,"Deluxe Room, 1 Queen Bed",1
,Other,queen ,Other,Other,Deluxe,,,Queen/Queen - Deluxe,1
,Other,Other,Other,Other,Deluxe,,,Deluxe Standard,1
,Other,Other,Other,Other,Deluxe,,,Deluxe Chalet,1
,double ,Other,deluxe ,Other,Club deluxe ,,,Double Club Deluxe,1
,double twin ,Other,deluxe ,Other,Club deluxe ,,,Double Or Twin Club Deluxe,1
,double twin ,Other,deluxe ,Other,Club deluxe ,,,Twin/double Room - Deluxe - Club Room,1
,twin ,king ,deluxe ,Other,Club deluxe ,,,Club Deluxe King Or Twin,1
,twin ,Other,deluxe ,Other,Club deluxe ,,,Twin Club Deluxe,1
,Other,king ,deluxe ,Other,Club deluxe ,,,Club Deluxe King Room,1
,Other,king ,deluxe ,Other,Club deluxe ,,,Club Deluxe Room With King Bed - Club Lounge Access For Adults Only,1
,Other,king ,deluxe suite ,Other,Deluxe Duplex Suite,,,Deluxe Duplex Suite King Bed,1
,double ,Other,deluxe executive ,Other,Deluxe Executive,,,Double Deluxe Executive Club,1
,double ,Other,deluxe executive ,Other,Deluxe Executive,,,Double Deluxe Executive,1
,double ,Other,deluxe executive ,Other,Deluxe Executive,,,Double Room - Executive - Deluxe,1
,double twin ,Other,deluxe executive ,Other,Deluxe Executive,,,Twin/Double Room - Deluxe - Executive,1
,twin ,Other,deluxe executive ,Other,Deluxe Executive,,,Executive Deluxe Twin,1
,twin ,Other,deluxe executive ,Other,Deluxe Executive,,,Twin Deluxe Executive,1
,twin ,Other,deluxe executive ,Other,Deluxe Executive,,,Twin Deluxe-Executive,1
,twin ,Other,deluxe executive ,Other,Deluxe Executive,,,Twin Executive Deluxe,1
,twin ,Other,deluxe executive ,Other,Deluxe Executive,,,Twin Lady Astor And Executive Deluxe,1
,twin ,Other,deluxe executive ,City,Deluxe Executive,,,Twin Room - Deluxe - Executive - City View,1
,twin ,Other,deluxe executive ,Other,Deluxe Executive,,,Twin Room - Executive - Deluxe,1
,Other,Other,deluxe executive ,Other,Deluxe Executive,,,Deluxe Executive,1
,Other,king ,deluxe executive ,City,Deluxe Executive,,,Double Room King Bed - Executive - City View,1
,Other,Other,deluxe executive quadruple ,Other,Deluxe Executive,,,Quadruple Room - Deluxe - Executive,1
,Other,Other,deluxe executive ,Other,Deluxe Executive,,,Triple Room - Deluxe - Executive,1
,Other,Other,deluxe executive suite ,Other,Deluxe Executive Suite,,,Executive Deluxe Suite,1
,Other,Other,deluxe ,Other,Deluxe Family,,,Deluxe 4 Bed Family Room,1
,Other,Other,deluxe ,Other,Deluxe Family,,,Deluxe Family,1
,Other,Other,deluxe ,Other,Deluxe Family,,,Deluxe Family Room,1
,Other,Other,deluxe ,Other,Deluxe Penthouse,,,Deluxe Penthouse,1
,Other,Other,deluxe ,Other,Deluxe Penthouse,,,Penthouse Deluxe,1
,double twin ,Other,premier ,Other,Deluxe Premier,,,Double Or Twin Deluxe Premier,1
,double twin ,Other,premier ,Other,Deluxe Premier,,,Twin/Double Room - Deluxe - Premier,1
,double twin ,Other,premium ,Other,Deluxe Premier,,,Double Or Twin Deluxe Premium,1
,double twin ,Other,premium ,Other,Deluxe Premier,,,Twin/Double Room - Premium - Deluxe,1
,twin ,Other,premier ,Other,Deluxe Premier,,,Premier Deluxe Twin Room,1
,Other,Other,premium ,Other,Deluxe Premier,,,Deluxe Premium,1
,Other,Other,premium ,Other,Deluxe Premier,,,Deluxe Premium.,1
,Other,Other,premium ,Other,Deluxe Premier,,,Premium Deluxe,1
,Other,Other,quadruple ,City,Deluxe Premier,,,"Deluxe Quadruple Room, 2 Double Beds, Accessible, City View",1
,double twin ,Other,Other,Other,Deluxe Studio,,,"Deluxe Studio, 1 Double Or 2 Single Beds",1
,double twin ,Other,Other,Other,Deluxe Studio,,,Double Or Twin Deluxe Studio,1
,double twin ,Other,Other,Other,Deluxe Studio,,,Double Or Twin Deluxe-Studio,1
,single ,Other,Other,Other,Deluxe Studio,,,"Deluxe Studio, 2 Single Beds",1
,twin ,Other,deluxe ,Other,Deluxe Studio,,,Deluxe Studio Twin,1
,twin ,Other,deluxe ,Other,Deluxe Studio,,,Deluxe Twin Studio,1
,twin ,Other,deluxe ,Other,Deluxe Studio,,,Studio Deluxe Twin,1
,Other,Other,Other,Other,Deluxe Studio,,,Deluxe Studio,1
,Other,Other,Other,Other,Deluxe Studio,,,Deluxe Studio (Type B),1
,Other,Other,Other,Other,Deluxe Studio,,,"Deluxe Studio, 2 Single Beds",1
,Other,Other,deluxe suite ,Other,Deluxe Studio Suite,,,Deluxe Studio Suite,1
,double ,Other,suite ,Other,Deluxe Suite,,,Double Deluxe Suite,1
,double ,Other,suite ,Other,Deluxe Suite,,,Double Deluxe-Suite,1
,triple ,Other,suite ,Other,Deluxe Suite,,,Triple Luxe Suite,1
,triple ,Other,superior ,Other,Deluxe,,,Superior Deluxe Triple,1
,triple ,Other,deluxe ,Other,Deluxe,,,Deluxe Room (Triple),1
,triple ,Other,deluxe ,Other,Deluxe,,,Deluxe Triple,1
,triple ,Other,deluxe ,Other,Deluxe,,,Deluxe Triple Room,1
,triple ,Other,deluxe ,Other,Deluxe,,,Triple Room – Deluxe,1
,triple double single ,Other,deluxe ,Other,Deluxe,,,Deluxe Triple - 1 Double Bed And 1 Single Bed,1
,twin ,Other,deluxe ,Other,Deluxe,,,Deluxe Room Renovated - Twin Bed (Ns),1
,twin ,Other,deluxe ,Other,Deluxe,,,"Deluxe Room, 2 Twin Beds",1
,twin ,Other,deluxe ,Other,Deluxe,,,Deluxe Twin,1
,twin ,Other,deluxe ,Other,Deluxe,,,Deluxe Twin (1 Queen And 1 Single),1
,twin ,Other,deluxe ,City,Deluxe,,,Deluxe Twin Room,1
,twin ,Other,deluxe ,Other,Deluxe,,,"Deluxe Twin Room, City View",1
,twin ,Other,deluxe ,Other,Deluxe,,,Deluxe Twin Towers View Twin,1
,twin ,Other,deluxe ,Other,Deluxe,,,Deluxe Zen Twin,1
,twin ,Other,deluxe ,Other,Deluxe,,,Deluxe/Twin,1
,twin ,Other,deluxe ,Other,Deluxe,,,Twin Deluxe,1
,twin ,Other,deluxe ,Other,Deluxe,,,Twin Luxe,1
,twin ,Other,deluxe ,Other,Deluxe,,,Twin Room - Deluxe,1
,twin ,Other,deluxe ,Other,Deluxe,,,Twin Room - Deluxe - Tower,1
,Other,Other,suite ,Other,Deluxe Suite,,,Deluxe Suite,1
,Other,Other,suite ,Other,Deluxe Suite,,,"Deluxe Suite, 1 Bedroom",1
,Other,Other,suite ,Other,Deluxe Suite,,,"Deluxe Suite, 3 Bedrooms, Kitchenette",1
,Other,Other,suite ,Other,Deluxe Suite,,,Suite - Deluxe,1
,Other,Other,suite ,Other,Deluxe Suite,,,Suite Deluxe,1
,Other,Other,suite ,Other,Deluxe Suite,,,Suite Deluxe-Suite,1
,Other,king ,suite ,Other,Deluxe Suite,,,Deluxe Suite With King Bed,1
,Other,Other,deluxe ,Other,Deluxe Villa,,,Deluxe Villa With Breakfast,1
,Other,Other,deluxe ,Garden,Deluxe Villa,,,"Deluxe Villa, 1 Double Bed, Garden View, Garden Area",1
,Other,Other,deluxe ,Other,Deluxe Villa,,,Villa - Deluxe,1
,Other,Other,deluxe VIP,Other,Deluxe VIP,,,Deluxe Vip,1
,Other,Other,suite ,Other,Diamond Suite,,,Diamond Suite,1
,Other,Other,Other,Other,Dormitory,,,Male Dormitory,1
,twin ,Other,Other,Other,Dormitory,,,Mixed Dormitory Twin,1
,twin ,Other,Other,Other,Dormitory,,,Mixed Dormitory Twin Room,1
,double ,Other,Other,Other,Dormitory,,,Mixed Dormitory Double,1
,double ,Other,Other,Other,Dormitory,,,Mixed Dormitory Double room,1
,double twin ,Other,Other,Other,Dormitory,,,Mixed Dormitory Twin/Double,1
,double twin ,Other,Other,Other,Dormitory,,,Mixed Dormitory Twin/Double Room,1
,double ,Other,Other,Other,Double,,,Double Room,1
,double ,Other,Other,Other,Double,,,Double Smoking,1
,double ,Other,Other,Towers,Double,,,Double Twin Tower View,1
,double ,Other,Other,Other,Double,,,Ground Floor Double Room,1
,double ,Other,Other,Other,Double,,,My Double Room,1
,double ,Other,Other,Other,Double,,,Upper Floor Double Room,1
,double ,king ,Other,Other,Double,,,Double - King Bed,1
,double ,king ,Other,Other,Double,,,Double King,1
,double ,king ,Other,Other,Double,,,Double King Bed Room,1
,double ,king ,Other,Other,Double,,,Double King Size Bed,1
,double ,king ,Other,Other,Double,,,Double Room King Bed,1
,double ,queen ,Other,Other,Double,,,"Double Room, 1 Queen Bed, Shared Bathroom",1
,double twin ,Other,Other,Other,Double,,,Comfort Double Or Twin Room,1
,double twin ,Other,Other,Other,Double,,,Double / Twin Room,1
,double twin ,Other,Other,Other,Double,,,Double Or Twin,1
,double twin ,Other,Other,Other,Double,,,Double Or Twin Room With Private Barthroom,1
,double twin ,Other,Other,Other,Double,,,Double Or Twin Room With Private Bathroom,1
,double twin ,Other,Other,Other,Double,,,Twin/Double Room,1
,double twin ,Other,Other,Other,Double,,,Twin/Double Room - No View,1
,triple ,Other,Other,Other,Duplex,,,Triple Duplex,1
,Other,Other,Duplex,Other,Duplex,,,Duplex 1 BedRoom,1
,Other,Other,Duplex,Other,Duplex,,,Duplex 2 Bed Room,1
,Other,Other,Duplex,Other,Duplex,,,Duplex Room,1
,Other,Other,Duplex quadruple ,Other,Duplex,,,Duplex Quadruple Room,1
,Other,Other,Duplex,Other,Duplex Family,,,Duplex Family (4 Adults),1
,Other,Other,Duplex suite ,Other,Duplex Family Suite,,,Duplex Family Suite,1
,Other,Other,Duplex Premium,Other,Duplex Premium,,,Duplex Premium Room,1
,Other,Other,Duplex suite ,Other,Duplex Royal Suite,,,Suite Royal Duplex,1
,Other,Other,Duplex suite ,Other,Duplex Standard Suite,,,Standard Duplex Suite,1
,twin ,Other,Duplex suite ,Other,Duplex Suite,,,Duplex Suite twin,1
,double ,Other,Duplex suite ,Other,Duplex Suite,,,One Bedroom Duplex Suite double,1
,twin ,Other,Duplex suite ,Other,Duplex Suite,,,Suite – Duplex twin,1
,double ,Other,Duplex suite ,Other,Duplex Suite,,,Suite Duplex Suite double,1
,twin ,Other,Duplex suite ,Other,Duplex Suite,,,Suite One Bedroom Duplex twin,1
,Other,king ,Duplex suite ,Other,Duplex Suite,,,"Duplex Suite, 1 King Bed ",1
,Other,Other,Duplex suite ,Other,Duplex Suite,,,Duplex Suite,1
,Other,Other,Duplex suite ,Other,Duplex Suite,,,One Bedroom Duplex Suite,1
,Other,Other,Duplex suite ,Other,Duplex Suite,,,Suite - Duplex,1
,Other,Other,Duplex suite ,Other,Duplex Suite,,,Suite Duplex Suite,1
,Other,Other,Duplex suite ,Other,Duplex Suite,,,Suite One Bedroom Duplex,1
,Other,king ,Duplex suite ,Other,Duplex Suite,,,"Duplex Suite, 1 King Bed",1
,twin ,Other,Other,Other,Economy,,,Economy Twin Room,1
,Other,queen ,Other,Other,Economy,,,Economy Queen Room,1
