bedType,bed,roomType,view,master_room_type,,room_name,stt
,queen ,suite ,,Club Junior Suite,Club,Club Junior Suite With Queen Bed - Club Lounge Access For Adults Only,1
,king ,suite ,,Club Junior Suite,Club,Club Junior Suite With King  - Club Lounge Access For Adults Only,1
,queen ,suite ,,Club Junior Suite,Club,Club Junior Suite With Queen - Club Lounge Access For Adults Only,1
,king ,suite ,,Club Junior Suite,Club,Club Junior Suite With King Bed - Club Lounge Access For Adults Only,1
,queen ,suite ,,Club Junior Suite,Club,Club Junior Suite With Queen – Club,1
,king ,suite ,,Club Junior Suite,Club,Club Junior Suite With King Bed – Club,1
,queen ,suite ,,Club Junior Suite,Club,Club Junior Suite With Queen Bed,1
,king ,suite ,,Club Junior Suite,Club,Club Junior Suite With King – Club,1
,queen ,suite ,,Club Junior Suite,Club,Club Junior Suite With Queen,1
,king ,suite ,,Club Junior Suite,Club,Club Junior Suite With King Bed,1
,queen ,premier ,,Club Premier,Club,Club Room - Premier,1
twin ,,premier ,,Club Premier,Club,Twin Room - Club Room - Premier,1
double ,,premier ,,Club Premier,Club,Double - Club Premier ,1
single ,,premier ,,Club Premier,Club,Single Orchid Club Premier,1
,queen ,premier ,,Club Premier,Club,Club - Premier,1
twin ,,premier ,,Club Premier,Club,Twin Room - Club  - Premier,1
double ,,premier ,,Club Premier,Club,Double - Club Premier Room,1
,,premier ,,Club Premier,Club,Orchid Club Premier,1
double twin  ,king ,premier ,,Club Premier,Club,Twin/Double King Room - Club Room - Premier,1
double twin  ,queen ,premier ,,Club Premier,Club,Twin/Double Queen Room - Club Room - Premier,1
double twin  ,,premier ,,Club Premier,Club,Twin/Double Room - Club Room - Premier,1
double twin  ,,premier ,,Club Premier,Club,Twin/Double Orchid Club Premier ,1
twin ,,premier ,,Club Premier,Club,Twin Orchid Club Premier,1
double twin  ,,deluxe ,,Corporate Deluxe,Corporate,Twin/Double Room Corporate Deluxe,1
,,deluxe ,,Corporate Deluxe,Corporate,Corporate Deluxe Hotel,1
single twin ,,executive suite ,,Corporate Executive Suite,Corporate,Corporate Executive Suite Single/Double Room,1
,,executive suite ,,Corporate Executive Suite,Corporate,Corporate Executive Suite Hotel,1
double ,,deluxe ,,Corporate Deluxe,Corporate,Double Room Corporate Deluxe,1
,,deluxe ,,Corporate Deluxe,Corporate,Corporate Deluxe Hotels,1
double twin  ,,executive suite ,,Corporate Executive Suite,Corporate,Corporate Executive Suite Twin/Double Room,1
,,executive suite ,,Corporate Executive Suite,Corporate,Corporate Executive Suite room Hotel ,1
double ,,executive suite ,,Corporate Executive Suite,Corporate,Corporate Executive Suite Double Room,1
twin ,,executive suite ,,Corporate Executive Suite,Corporate,Corporate Executive Suite Twin Room,1
double twin  ,,deluxe ,,Corporate Deluxe,Corporate,Twin/Double Corporate Deluxe,1
double twin  ,,deluxe ,,Corporate Deluxe,Corporate,Twin/Double room Corporate Deluxe,1
double twin  ,,deluxe ,,Corporate Deluxe,Corporate,Twin/Double rooms Corporate Deluxe,1
,,deluxe ,,Corporate Deluxe,Corporate,Corporate Deluxe,1
double twin  ,,executive suite ,,Corporate Executive Suite,Corporate,Corporate Executive Suite Twin/Double,1
,,executive suite ,,Corporate Executive Suite,Corporate,Corporate Executive Suite,1
double ,,,,Deluxe,,De Luxe Double Bed Room,1
double ,,,,Deluxe,,Deluxe - Double,1
double ,,,,Deluxe,,Deluxe Double,1
double ,,,,Deluxe,,Deluxe Double Room,1
double ,,,,Deluxe,,"Deluxe Double Room, 1 Queen Bed",1
double ,,,City,Deluxe,,"Deluxe Double Room, City View",1
double ,,,,Deluxe,,"Deluxe Double Room, No Windows",1
double ,,,,Deluxe,,Deluxe Double Window,1
double ,,,,Deluxe,,"Deluxe Room, 1 Double Bed",1
double ,,,,Deluxe,,"Deluxe Zen Double, 1 Queen Bed",1
double ,,,,Deluxe,,Double Deluxe,1
double ,,,,Deluxe,,Double Luxe,1
double ,,,,Deluxe,,Double Luxe-Crib,1
double ,,,,Deluxe,,Double Room - Deluxe,1
double ,,,,Deluxe,,Double Room Deluxe,1
double ,,,,Deluxe,,Double Twin-Tower View Deluxe,1
double ,king ,,,Deluxe,,Double Deluxe King,1
double ,king ,,,Deluxe,,Double Deluxe King Bed,1
double ,king ,,,Deluxe,,Double Room King Bed - Deluxe,1
double ,king ,,,Deluxe,,Deluxe Double Or King Room,1
double single ,,,,Deluxe,,"Deluxe Room, 1 Double Or 2 Single Bed",1
double single ,,,,Deluxe,,"Deluxe Room, 1 Double Or 2 Single Beds",1
double single ,,,,Deluxe,,"Deluxe Room, 1 Double Or 2 Single Beds With Big Window",1
double single ,,,,Deluxe,,Deluxe Single / Double,1
double single ,,,,Deluxe,,Deluxe Single Or Double Room,1
double twin  ,,,,Deluxe,,Deluxe (Double Or Twin Bed),1
double twin  ,,,,Deluxe,,Deluxe Double Or Twin,1
double twin  ,,,,Deluxe,,Deluxe Double Or Twin Bed,1
double twin  ,,,City,Deluxe,,"Deluxe Double Or Twin Room, City View",1
double twin  ,,,,Deluxe,,Deluxe Double/Twin,1
double twin  ,,,,Deluxe,,Double Or Twin Deluxe,1
double twin  ,,,,Deluxe,,Twin/double Room - Deluxe,1
double twin  ,,,,Deluxe,,Twin/Double Room - Deluxe - Balcony,1
double twin  ,,,,Deluxe,,Twin/Double Room - Deluxe - Tower,1
single ,,,,Deluxe,,2 Single Beds Deluxe,1
single ,,,,Deluxe,,2 Single Deluxe Smoking,1
single ,,,,Deluxe,,Deluxe 2 Single Beds,1
single ,,,,Deluxe,,Deluxe Room 2 Single Beds,1
single ,,,,Deluxe,,"Deluxe Room, 2 Single Beds",1
single ,,,,Deluxe,,Deluxe Single,1
single ,,,,Deluxe,,Deluxe Single Room,1
twin ,king ,,,Deluxe,,Corporate Deluxe King Or Twin,1
twin ,king ,,,Deluxe,,Deluxe King Or Twin Room With Window,1
twin ,king ,,,Deluxe,,Deluxe Twin/King,1
twin ,,deluxe ,,Deluxe,,Twin Deluxe Plus,1
,,,,Deluxe,,*Deluxe,1
,,,,Deluxe,,1 Bedroom Deluxe,1
,,,,Deluxe,,Deluxe,1
,,,,Deluxe,,Deluxe - No Window,1
,,,,Deluxe,,Deluxe Balcony Room,1
,,,,Deluxe,,Deluxe No Window,1
,,,,Deluxe,,Deluxe One Bedroom Studio,1
,,,,Deluxe,,Deluxe Plus Room - Room Only (Bar).,1
,,,,Deluxe,,Deluxe Plus Room - Room With Breakfast (Bar),1
,,,,Deluxe,,Deluxe Room,1
,,,,Deluxe,,Deluxe Room (Newly Renovated!),1
,,,,Deluxe,,Deluxe Room (Newly Renovated),1
,,,,Deluxe,,Deluxe Room (No View) - Room Only (Bar),1
,,,,Deluxe,,Deluxe Room (No View) - Room With Breakfast (Bar),1
,,,Sea,Deluxe,,Deluxe Room (Non Seaview),1
,,,Towers,Deluxe,,Deluxe Room (Twin Tower View),1
,,,,Deluxe,,Deluxe Room - Klcc View,1
,,,,Deluxe,,Deluxe Room Bbf - Klcc View,1
,,,,Deluxe,,Deluxe Room With Breakfast,1
,,,,Deluxe,,Deluxe Room With Window,1
,,,,Deluxe,,"Deluxe Room, 1 Bedroom",1
,,,City,Deluxe,,"Deluxe Room, City View",1
,,,,Deluxe,,"Deluxe Room, Connecting Rooms",1
,,,,Deluxe,,"Deluxe Room, Non Smoking",1
,,,Sea,Deluxe,,"Deluxe Room, Sea View",1
,,,Towers,Deluxe,,"Deluxe Room, View (Twin Towers)",1
,,,,Deluxe,,Deluxe Room.,1
,,,Towers,Deluxe,,Deluxe Twin Towers View,1
,,,,Deluxe,,Deluxe With Breakfast,1
,,,,Deluxe,,Deluxe With Window,1
,,,,Deluxe,,Deluxe.,1
,,,,Deluxe,,Luxe,1
,,,,Deluxe,,Luxe Room,1
,king ,,,Deluxe,,Deluxe (King),1
,king ,,,Deluxe,,Deluxe King,1
,king ,,,Deluxe,,Deluxe King - 4 Hours,1
,king ,,,Deluxe,,Deluxe King Room,1
,king ,,,Deluxe,,Deluxe Room 1 King Bed,1
,king ,,,Deluxe,,Deluxe Room Renovated - King Bed (Ns),1
,king ,,,Deluxe,,"Deluxe Room, 1 King Bed",1
,king ,,,Deluxe,,"Deluxe Room, 1 King Bed / 2 Single Beds(Orchid)",1
,king ,,City,Deluxe,,"Deluxe Room, 1 King Bed, City View",1
,king ,,Garden,Deluxe,,"Deluxe Room, 1 King Bed, Garden View",1
,king ,,,Deluxe,,King Deluxe,1
,king ,,Towers,Deluxe,,Traders Twin Towers King,1
,king ,,,Deluxe,,Traders Twin Towers View 1 King,1
,queen ,,,Deluxe,,Corporate Deluxe Queen,1
,queen ,,,Deluxe,,Deluxe Queen,1
,queen ,,,Deluxe,,Deluxe Queen Room,1
,queen ,,,Deluxe,,Deluxe Queen Room With Window,1
,queen ,,,Deluxe,,Deluxe Queen Room Without Window,1
,queen ,,,Deluxe,,Deluxe Queen.,1
,queen ,,,Deluxe,,"Deluxe Room, 1 Queen Bed",1
,queen ,,,Deluxe,,Queen/Queen - Deluxe,1
,,,,Deluxe,,Deluxe Standard,1
,,,,Deluxe,,Deluxe Chalet,1
double ,,deluxe ,,Club deluxe ,,Double Club Deluxe,1
double twin  ,,deluxe ,,Club deluxe ,,Double Or Twin Club Deluxe,1
double twin  ,,deluxe ,,Club deluxe ,,Twin/double Room - Deluxe - Club Room,1
twin ,king ,deluxe ,,Club deluxe ,,Club Deluxe King Or Twin,1
twin ,,deluxe ,,Club deluxe ,,Twin Club Deluxe,1
,king ,deluxe ,,Club deluxe ,,Club Deluxe King Room,1
,king ,deluxe ,,Club deluxe ,,Club Deluxe Room With King Bed - Club Lounge Access For Adults Only,1
,king ,deluxe suite ,,Deluxe Duplex Suite,,Deluxe Duplex Suite King Bed,1
double ,,deluxe executive ,,Deluxe Executive,,Double Deluxe Executive Club,1
double ,,deluxe executive ,,Deluxe Executive,,Double Deluxe Executive,1
double ,,deluxe executive ,,Deluxe Executive,,Double Room - Executive - Deluxe,1
double twin  ,,deluxe executive ,,Deluxe Executive,,Twin/Double Room - Deluxe - Executive,1
twin ,,deluxe executive ,,Deluxe Executive,,Executive Deluxe Twin,1
twin ,,deluxe executive ,,Deluxe Executive,,Twin Deluxe Executive,1
twin ,,deluxe executive ,,Deluxe Executive,,Twin Deluxe-Executive,1
twin ,,deluxe executive ,,Deluxe Executive,,Twin Executive Deluxe,1
twin ,,deluxe executive ,,Deluxe Executive,,Twin Lady Astor And Executive Deluxe,1
twin ,,deluxe executive ,City,Deluxe Executive,,Twin Room - Deluxe - Executive - City View,1
twin ,,deluxe executive ,,Deluxe Executive,,Twin Room - Executive - Deluxe,1
,,deluxe executive ,,Deluxe Executive,,Deluxe Executive,1
,king ,deluxe executive ,City,Deluxe Executive,,Double Room King Bed - Executive - City View,1
,,deluxe executive quadruple ,,Deluxe Executive,,Quadruple Room - Deluxe - Executive,1
,,deluxe executive ,,Deluxe Executive,,Triple Room - Deluxe - Executive,1
,,deluxe executive suite ,,Deluxe Executive Suite,,Executive Deluxe Suite,1
,,deluxe ,,Deluxe Family,,Deluxe 4 Bed Family Room,1
,,deluxe ,,Deluxe Family,,Deluxe Family,1
,,deluxe ,,Deluxe Family,,Deluxe Family Room,1
,,deluxe ,,Deluxe Penthouse,,Deluxe Penthouse,1
,,deluxe ,,Deluxe Penthouse,,Penthouse Deluxe,1
double twin  ,,premier ,,Deluxe Premier,,Double Or Twin Deluxe Premier,1
double twin  ,,premier ,,Deluxe Premier,,Twin/Double Room - Deluxe - Premier,1
double twin  ,,premium ,,Deluxe Premier,,Double Or Twin Deluxe Premium,1
double twin  ,,premium ,,Deluxe Premier,,Twin/Double Room - Premium - Deluxe,1
twin ,,premier ,,Deluxe Premier,,Premier Deluxe Twin Room,1
,,premium ,,Deluxe Premier,,Deluxe Premium,1
,,premium ,,Deluxe Premier,,Deluxe Premium.,1
,,premium ,,Deluxe Premier,,Premium Deluxe,1
,,quadruple ,City,Deluxe Premier,,"Deluxe Quadruple Room, 2 Double Beds, Accessible, City View",1
double twin  ,,,,Deluxe Studio,,"Deluxe Studio, 1 Double Or 2 Single Beds",1
double twin  ,,,,Deluxe Studio,,Double Or Twin Deluxe Studio,1
double twin  ,,,,Deluxe Studio,,Double Or Twin Deluxe-Studio,1
single ,,,,Deluxe Studio,,"Deluxe Studio, 2 Single Beds",1
twin ,,deluxe ,,Deluxe Studio,,Deluxe Studio Twin,1
twin ,,deluxe ,,Deluxe Studio,,Deluxe Twin Studio,1
twin ,,deluxe ,,Deluxe Studio,,Studio Deluxe Twin,1
,,,,Deluxe Studio,,Deluxe Studio,1
,,,,Deluxe Studio,,Deluxe Studio (Type B),1
,,,,Deluxe Studio,,"Deluxe Studio, 2 Single Beds",1
,,deluxe suite ,,Deluxe Studio Suite,,Deluxe Studio Suite,1
double ,,suite ,,Deluxe Suite,,Double Deluxe Suite,1
double ,,suite ,,Deluxe Suite,,Double Deluxe-Suite,1
triple ,,suite ,,Deluxe Suite,,Triple Luxe Suite,1
triple ,,superior ,,Deluxe,,Superior Deluxe Triple,1
triple ,,deluxe ,,Deluxe,,Deluxe Room (Triple),1
triple ,,deluxe ,,Deluxe,,Deluxe Triple,1
triple ,,deluxe ,,Deluxe,,Deluxe Triple Room,1
triple ,,deluxe ,,Deluxe,,Triple Room – Deluxe,1
triple double single ,,deluxe ,,Deluxe,,Deluxe Triple - 1 Double Bed And 1 Single Bed,1
twin ,,deluxe ,,Deluxe,,Deluxe Room Renovated - Twin Bed (Ns),1
twin ,,deluxe ,,Deluxe,,"Deluxe Room, 2 Twin Beds",1
twin ,,deluxe ,,Deluxe,,Deluxe Twin,1
twin ,,deluxe ,,Deluxe,,Deluxe Twin (1 Queen And 1 Single),1
twin ,,deluxe ,City,Deluxe,,Deluxe Twin Room,1
twin ,,deluxe ,,Deluxe,,"Deluxe Twin Room, City View",1
twin ,,deluxe ,,Deluxe,,Deluxe Twin Towers View Twin,1
twin ,,deluxe ,,Deluxe,,Deluxe Zen Twin,1
twin ,,deluxe ,,Deluxe,,Deluxe/Twin,1
twin ,,deluxe ,,Deluxe,,Twin Deluxe,1
twin ,,deluxe ,,Deluxe,,Twin Luxe,1
twin ,,deluxe ,,Deluxe,,Twin Room - Deluxe,1
twin ,,deluxe ,,Deluxe,,Twin Room - Deluxe - Tower,1
,,suite ,,Deluxe Suite,,Deluxe Suite,1
,,suite ,,Deluxe Suite,,"Deluxe Suite, 1 Bedroom",1
,,suite ,,Deluxe Suite,,"Deluxe Suite, 3 Bedrooms, Kitchenette",1
,,suite ,,Deluxe Suite,,Suite - Deluxe,1
,,suite ,,Deluxe Suite,,Suite Deluxe,1
,,suite ,,Deluxe Suite,,Suite Deluxe-Suite,1
,king ,suite ,,Deluxe Suite,,Deluxe Suite With King Bed,1
,,deluxe ,,Deluxe Villa,,Deluxe Villa With Breakfast,1
,,deluxe ,Garden,Deluxe Villa,,"Deluxe Villa, 1 Double Bed, Garden View, Garden Area",1
,,deluxe ,,Deluxe Villa,,Villa - Deluxe,1
,,deluxe VIP,,Deluxe VIP,,Deluxe Vip,1
,,suite ,,Diamond Suite,,Diamond Suite,1
,,,,Dormitory,,Male Dormitory,1
twin ,,,,Dormitory,,Mixed Dormitory Twin,1
twin ,,,,Dormitory,,Mixed Dormitory Twin Room,1
double ,,,,Dormitory,,Mixed Dormitory Double,1
double ,,,,Dormitory,,Mixed Dormitory Double room,1
double twin  ,,,,Dormitory,,Mixed Dormitory Twin/Double,1
double twin  ,,,,Dormitory,,Mixed Dormitory Twin/Double Room,1
double ,,,,Double,,Double Room,1
double ,,,,Double,,Double Smoking,1
double ,,,Towers,Double,,Double Twin Tower View,1
double ,,,,Double,,Ground Floor Double Room,1
double ,,,,Double,,My Double Room,1
double ,,,,Double,,Upper Floor Double Room,1
double ,king ,,,Double,,Double - King Bed,1
double ,king ,,,Double,,Double King,1
double ,king ,,,Double,,Double King Bed Room,1
double ,king ,,,Double,,Double King Size Bed,1
double ,king ,,,Double,,Double Room King Bed,1
double ,queen ,,,Double,,"Double Room, 1 Queen Bed, Shared Bathroom",1
double twin  ,,,,Double,,Comfort Double Or Twin Room,1
double twin  ,,,,Double,,Double / Twin Room,1
double twin  ,,,,Double,,Double Or Twin,1
double twin  ,,,,Double,,Double Or Twin Room With Private Barthroom,1
double twin  ,,,,Double,,Double Or Twin Room With Private Bathroom,1
double twin  ,,,,Double,,Twin/Double Room,1
double twin  ,,,,Double,,Twin/Double Room - No View,1
triple ,,,,Duplex,,Triple Duplex,1
,,Duplex,,Duplex,,Duplex 1 BedRoom,1
,,Duplex,,Duplex,,Duplex 2 Bed Room,1
,,Duplex,,Duplex,,Duplex Room,1
,,Duplex quadruple ,,Duplex,,Duplex Quadruple Room,1
,,Duplex,,Duplex Family,,Duplex Family (4 Adults),1
,,Duplex suite ,,Duplex Family Suite,,Duplex Family Suite,1
,,Duplex Premium,,Duplex Premium,,Duplex Premium Room,1
,,Duplex suite ,,Duplex Royal Suite,,Suite Royal Duplex,1
,,Duplex suite ,,Duplex Standard Suite,,Standard Duplex Suite,1
twin ,,Duplex suite ,,Duplex Suite,,Duplex Suite twin,1
double ,,Duplex suite ,,Duplex Suite,,One Bedroom Duplex Suite double,1
twin ,,Duplex suite ,,Duplex Suite,,Suite – Duplex twin,1
double ,,Duplex suite ,,Duplex Suite,,Suite Duplex Suite double,1
twin ,,Duplex suite ,,Duplex Suite,,Suite One Bedroom Duplex twin,1
,king ,Duplex suite ,,Duplex Suite,,"Duplex Suite, 1 King Bed ",1
,,Duplex suite ,,Duplex Suite,,Duplex Suite,1
,,Duplex suite ,,Duplex Suite,,One Bedroom Duplex Suite,1
,,Duplex suite ,,Duplex Suite,,Suite - Duplex,1
,,Duplex suite ,,Duplex Suite,,Suite Duplex Suite,1
,,Duplex suite ,,Duplex Suite,,Suite One Bedroom Duplex,1
,king ,Duplex suite ,,Duplex Suite,,"Duplex Suite, 1 King Bed",1
twin ,,,,Economy,,Economy Twin Room,1
,queen ,,,Economy,,Economy Queen Room,1
double ,,executive ,,Executive,,Double Room - Executive,1
double ,,executive ,,Executive,,Executive Double Room,1
double ,,executive ,,Executive,,"Executive Single Room, 1 Double Bed",1
double ,king ,executive ,,Executive,,Double Executive King Bed,1
double single ,,executive ,,Executive,,"Executive Room, 1 Double Or 2 Single Bed",1
double twin  ,,executive ,,Executive,,Twin/double Room - Executive,1
single ,king ,executive ,,Executive,,"Executive Room Lounge Access, 1 King Or 2 Twin/ Single Bed(S), Mini Fridge, 30sq",1
single ,,executive ,,Executive,,Executive 2 Single Beds,1
single ,,executive ,,Executive,,Executive Room 2 Single Beds,1
triple ,,executive ,,Executive,,Executive Triple,1
triple ,,executive ,Sea,Executive,,"Executive Triple Room, Sea View",1
twin ,,executive ,,Executive,,"Executive Room, 2 Twin Beds",1
,,executive ,,Executive,,1 Bedroom Executive,1
,,executive ,,Executive,,Executive Room,1
,,executive ,Sea,Executive,,"Executive Room, Sea View",1
,,executive ,,Executive,,One Bedroom Executive,1
,king ,executive ,,Executive,,"Executive Room, 1 King Bed",1
,king ,executive ,,Executive,,"Executive Room, 1 King Bed, Business Lounge Access",1
,,executive quadruple ,,Executive,,Quadruple Executive,1
,queen ,executive ,,Executive,,Executive Queen,1
,queen ,executive ,,Executive,,Executive Queen Room,1
,queen ,executive ,,Executive,,Executive Room (Queen),1
,,executive suite ,,Executive Apartment Suite,Apartment,Executive Suite Apartment ,1
,,executive suite ,,Executive Apartment Suite,Apartment,Executive Suite Apartment room,1
twin ,,executive suite ,,Executive Apartment Suite,Apartment,Executive Suite Apartment twin,1
double ,,executive suite ,,Executive Apartment Suite,Apartment,Executive Suite Apartment double,1
double twin  ,,executive suite ,,Executive Apartment Suite,Apartment,Executive Suite Apartment twin/double,1
double twin  ,,executive suite ,,Executive Apartment Suite,Apartment,Executive Suite Apartment double/twin,1
double twin  ,,executive suite ,,Executive Apartment Suite,Apartment,Executive Suite Apartment twin/double room,1
double twin  ,,executive suite ,,Executive Apartment Suite,Apartment,Executive Suite Apartment double/twin room,1
twin ,queen ,executive classic ,,Executive Classic,,Executive Classic Twin queen room,1
,king ,executive classic ,,Executive Classic,,Executive Classic double/twin room,1
double twin  ,,executive classic ,,Executive Classic,,Executive Classic double/twin,1
double ,king ,executive classic ,,Executive Classic,,Executive Classic King double room,1
twin ,queen ,executive classic ,,Executive Classic,,Executive Classic Twin queen,1
,king ,executive classic ,,Executive Classic,,Executive Classic double King room,1
twin ,,executive classic ,,Executive Classic,,Executive Classic Twin room,1
,king ,executive classic ,,Executive Classic,,Executive Classic King room,1
double twin  ,,executive classic ,,Executive Classic,,Executive Classic Twin/double,1
double ,king ,executive classic ,,Executive Classic,,Executive Classic King double room,1
twin ,,executive classic ,,Executive Classic,,Executive Classic Twin,1
,king ,executive classic ,,Executive Classic,,Executive Classic King,1
double twin  ,,executive ,,Executive Club,Club,Double Or Twin Executive Club room,1
double twin  ,,executive ,,Executive Club,Club,Twin/Double Room - Club Room – Executive room,1
,king ,executive ,,Executive Club,Club,Double Room King Bed - Executive - Club Room,1
,king ,executive ,,Executive Club,Club,Executive Club King room,1
double twin  ,,executive ,,Executive Club,Club,Double Twin Executive Club,1
double twin  ,,executive ,,Executive Club,Club,Twin/Double - Club Room - Executive,1
twin ,king ,executive ,,Executive Club,Club,Twin Room King Bed - Executive - Club Room,1
twin ,king ,executive ,,Executive Club,Club,Executive Club King twin,1
double twin  ,,executive ,,Executive Club,Club,Double Or Twin Executive Club,1
double twin  ,,executive ,,Executive Club,Club,Twin/Double Room - Club Room - Executive,1
,king ,executive ,,Executive Club,Club,Double Room King Bed - Executive - Club Room,1
,king ,executive ,,Executive Club,Club,Executive Club King,1
,,executive suite ,,Executive Club Suite,Club,Club Executive Suite,1
,,executive suite ,,Executive Club Suite,Club,Executive Club Plaza Suite,1
,,executive suite ,,Executive Club Suite,Club,Suite - Executive - Club Room,1
,,executive suite ,,Executive Club Suite,Club,Suite 2 Bedrooms - Executive - Club Room,1
,,executive suite ,,Executive Club Suite,Club,Suite Club Executive,1
,,executive deluxe ,,Deluxe Executive,,Deluxe Room (Executive),1
,,executive deluxe ,,Deluxe Executive,,Executive Deluxe,1
,,executive deluxe ,,Deluxe Executive,,Executive Room (Deluxe),1
,,executive deluxe suite ,,Deluxe Executive,,Executive Deluxe Suite,1
double twin  ,,executive ,,Executive Horizon,,Double/twin Horizon Executive,1
double twin  ,,executive ,,Executive Horizon,,Twin/double Horizon Executive,1
double twin  ,,executive ,,Executive Horizon,,Double/twin room Horizon Executive,1
double twin  ,,executive ,,Executive Horizon,,Twin/Double Room Horizon Executive,1
double ,,executive ,,Executive Horizon,,Double Horizon Executive,1
twin ,,executive ,,Executive Horizon,,Twin Horizon Executive,1
double ,,executive ,,Executive,,Executive Luxury double,1
twin ,,executive suite ,,Executive Suite,,Executive Luxury Suite twin,1
double twin  ,,executive suite ,,Executive Suite,,Executive Luxury Suite twin/double,1
,,executive ,,Executive,,Executive Luxury,1
,,executive suite ,,Executive Suite,,Executive Luxury Suite,1
double ,,executive ,,Executive,,Executive Luxury double room,1
twin ,,executive suite ,,Executive Suite,,Executive Luxury Suite twin room,1
double twin  ,,executive suite ,,Executive Suite,,Executive Luxury Suite twin/double room,1
