hotelType,bedType,bed,roomType,view,Master_room_type,room_name,room_master
apartment ,Other,Other,Apartment,Other,Apartment,"Apartment, 3 Bedrooms",
apartment ,single ,king ,Apartment,Other,Apartment,"Apartment, 3 Bedrooms (2 King And 3 Single Beds)",
apartment pool ,Other,Other,Apartment,Other,Apartment,"Apartment, Pool View",
apartment ,Other,Other,Apartment,River,Apartment,"Apartment, River View",
apartment ,Other,Other,Apartment,Other,Apartment,Comfort Apartment,
apartment ,Other,Other,Apartment,Other,Apartment,01 Bedroom Apartment,
apartment ,Other,Other,Apartment,Other,Apartment,02 Bedroom Apartment,
apartment ,Other,Other,Apartment,city ,Apartment,"City Apartment, 3 Bedrooms",
apartment ,Other,Other,Apartment,Other,Apartment,One Bedroom Apartment With Garden,
apartment ,Other,Other,Apartment,Other,Apartment,One Bedroom Apartment With Sofa Bed,
apartment ,Other,Other,Apartment,Other,Apartment,Skylark Apartment,
apartment ,Other,Other,Apartment,Other,Apartment,Skyline Series Two Bedroom Apartment,
apartment ,Other,Other,Apartment,Other,Apartment,Standard 2-Bedroom Apartment,
apartment ,Other,Other,Apartment,Other,Apartment,Standard Apartment,
apartment ,Other,king ,Apartment,city ,Apartment,"Standard Apartment, 1 King Bed, Accessible, City View",
apartment ,Other,Other,Apartment,city ,Apartment,"Standard Apartment, 2 Bedrooms, City View",
apartment ,Other,Other,Apartment,city ,Apartment,"Standard Apartment, 2 Bedrooms, Non Smoking, City View",
apartment ,Other,Other,Apartment,city ,Apartment,"Standard Apartment, 3 Bedrooms, Non Smoking, City View",
apartment ,Other,Other,Apartment,Other,Apartment,"Standard Apartment, Kitchen (1 Bedroom Garden View)",
apartment ,Other,Other,Apartment,Other,Apartment,"Standard Apartment, Kitchenette (2 Bedroom Garden View)",
apartment ,Other,Other,Apartment,Other,Apartment,Standard One-Bedroom Apartment,
apartment ,triple ,Other,Apartment,Other,Apartment,Triple Room Apartment,
apartment ,Other,Other,Apartment,Other,Apartment,Two - Bedroom Apartment,
apartment ,Other,Other,Apartment,Other,Apartment,Two-Bedrooms Apartment,
apartment ,single ,Other,Apartment,Other,Apartment,Apartment 1 Bedroom - Deluxe,
apartment penthouse penthouse ,Other,Other,Apartment,Other,Apartment,Apartment Penthouse,
apartment ,Other,Other,Apartment,Other,Apartment,2-Bedroom Quadruple Apartment - Non-Smoking,
apartment ,Other,Other,Apartment,Other,Apartment,2 Bedroom Standard Apartment,
apartment ,Other,Other,Apartment,Other,Apartment,Harbourside 2 Bedroom Apartment,
apartment ,Other,Other,Apartment,Other,Apartment,Three Bedroom Apartment,
apartment ,Other,Other,Apartment,Other,Apartment,Three Bedroom Apartment (5 Adults),
apartment ,Other,Other,Apartment,Other,Apartment,Three Bedroom Apartment (6 Adults),
apartment ,Other,Other,Apartment,Other,Apartment,Two Bedroom Apartment,
apartment ,Other,Other,Apartment deluxe ,city ,Apartment deluxe ,1 Bed Apartment Deluxe City,
apartment ,Other,Other,Apartment deluxe ,Other,Apartment deluxe ,1 Bedroom Apartment Deluxe,
apartment ,Other,Other,Apartment deluxe ,Other,Apartment deluxe ,1 Bedroom Deluxe Apartment,
apartment ,Other,Other,Apartment deluxe ,Other,Apartment deluxe ,2 Bedroom Apartment Deluxe,
apartment ,single ,Other,Apartment deluxe ,Other,Apartment deluxe ,Apartment 1 Bedroom Deluxe,
apartment ,single ,Other,Apartment deluxe ,Other,Apartment deluxe ,Apartment 1 Bedroom-Deluxe,
apartment ,double ,Other,Apartment deluxe ,Other,Apartment deluxe ,Apartment 2 Bedroom - Deluxe,
apartment ,double ,Other,Apartment deluxe ,Other,Apartment deluxe ,Apartment 2 Bedroom Deluxe,
apartment ,double ,Other,Apartment deluxe ,Other,Apartment deluxe ,Apartment 2 Bedrooms-Deluxe,
apartment ,triple ,Other,Apartment deluxe ,Other,Apartment deluxe ,Apartment 3 Bedroom - Deluxe,
apartment ,triple ,Other,Apartment deluxe ,Other,Apartment deluxe ,Apartment 3 Bedroom Deluxe,
apartment ,triple ,Other,Apartment deluxe ,Other,Apartment deluxe ,Apartment 3 Bedrooms-Deluxe,
apartment ,single ,Other,Apartment deluxe ,Other,Apartment deluxe ,Apartment Deluxe One Bedroom,
apartment ,triple ,Other,Apartment deluxe ,Other,Apartment deluxe ,Apartment Deluxe Three Bedroom,
apartment ,double ,Other,Apartment deluxe ,Other,Apartment deluxe ,Apartment Deluxe Two Bedroom,
apartment ,single ,Other,Apartment deluxe ,Other,Apartment deluxe ,Apartment One Bedroom Deluxe,
apartment ,double ,Other,Apartment deluxe ,Other,Apartment deluxe ,Apartment Two Bedroom Deluxe,
apartment ,Other,Other,Apartment deluxe ,Other,Apartment deluxe ,Deluxe 2-Bedroom Apartment,
apartment ,Other,Other,Apartment deluxe ,Other,Apartment deluxe ,Deluxe 2-Bedrooms Apartment,
apartment ,Other,Other,Apartment deluxe ,Other,Apartment deluxe ,Deluxe Apartment,
apartment ,Other,Other,Apartment deluxe ,Other,Apartment deluxe ,"Deluxe Apartment, 1 Bedroom",
apartment ,Other,Other,Apartment deluxe ,Other,Apartment deluxe ,"Deluxe Apartment, 1 Bedroom, Kitchen",
apartment ,Other,Other,Apartment deluxe ,Other,Apartment deluxe ,"Deluxe Apartment, 2 Bedrooms",
apartment ,Other,Other,Apartment deluxe ,Other,Apartment deluxe ,"Deluxe Apartment, 2 Bedrooms, Kitchen",
apartment ,Other,Other,Apartment deluxe ,Other,Apartment deluxe ,"Deluxe Apartment, 3 Bedrooms",
apartment ,Other,Other,Apartment deluxe ,city ,Apartment deluxe ,"Deluxe Apartment, 3 Bedrooms, Non Smoking, City View",
apartment ,twin single ,king queen ,Apartment deluxe ,city ,Apartment deluxe ,"Deluxe Apartment, 4 Bedrooms, City View (1 King , 1 Queen, 1 Twin And 1 Single)",
apartment ,Other,Other,Apartment deluxe ,Other,Apartment deluxe ,"Deluxe Apartment, Alley View",
apartment ,Other,Other,Apartment deluxe ,city ,Apartment deluxe ,"Deluxe Apartment, City View",
apartment ,Other,Other,Apartment deluxe ,city ,Apartment deluxe ,"Deluxe Apartment, Kitchenette, City View",
apartment ,Other,Other,Apartment deluxe ,Other,Apartment deluxe ,2 Bedroom Deluxe Apartment,
apartment ,Other,Other,Apartment deluxe ,Other,Apartment deluxe ,Deluxe One Bedroom Apartment,
apartment ,Other,Other,Apartment deluxe ,Other,Apartment deluxe ,Deluxe Two Bedroom Apartment,
apartment ,Other,Other,Apartment deluxe ,Other,Apartment deluxe ,1 Bedroom Grand Deluxe Apartment,
apartment ,Other,Other,Apartment deluxe ,Other,Apartment deluxe ,1-Bedroom Grand Deluxe Apartment,
apartment ,Other,Other,Apartment deluxe ,Other,Apartment deluxe ,2-Bedroom Deluxe Apartment,
apartment ,Other,Other,Apartment deluxe ,Other,Apartment deluxe ,3 Bedroom Deluxe Apartment,
apartment ,single ,Other,Apartment Executive,Other,Apartment Executive,Apartment 1 Bedroom Executive,
apartment club ,single ,Other,Apartment Executive,Other,Apartment Executive,Apartment 1 Bedroom - Club Room - Executive,
apartment ,single ,Other,Apartment Executive,Other,Apartment Executive,Apartment 1 Bedroom - Executive,
apartment ,single ,Other,Apartment Executive,Other,Apartment Executive,Apartment 1 Bedroom Excecutive,
apartment club ,double ,Other,Apartment Executive,Other,Apartment Executive,Apartment 2 Bedroom - Club Room - Executive,
apartment ,double ,Other,Apartment Executive,Other,Apartment Executive,Apartment 2 Bedroom - Executive,
apartment ,double ,Other,Apartment Executive,Other,Apartment Executive,Apartment 2 Bedroom Executive,
apartment ,double ,Other,Apartment Executive,Other,Apartment Executive,Apartment 2 Bedrooms-Executive,
apartment ,single ,Other,Apartment Executive,Other,Apartment Executive,Apartment Executive One Bedroom,
apartment ,triple ,Other,Apartment Executive,Other,Apartment Executive,Apartment Executive Three Bedrooms,
apartment ,double ,Other,Apartment Executive,Other,Apartment Executive,Apartment Executive Two Bedrooms,
apartment ,single ,Other,Apartment Executive,Other,Apartment Executive,Apartment One Bedroom Executive,
apartment ,double ,Other,Apartment Executive,Other,Apartment Executive,Apartment Two Bedroom Executive,
apartment ,Other,Other,Apartment Executive,Other,Apartment Executive,1 Bedroom Executive Apartment,
apartment ,Other,Other,Apartment Executive,Other,Apartment Executive,3 Bedroom Executive Apartment,
apartment ,Other,Other,Apartment Executive,Other,Apartment Executive,Executive Apartment,
apartment ,Other,Other,Apartment Executive,Other,Apartment Executive,"Executive Apartment, 1 Bedroom",
apartment ,Other,Other,Apartment Executive,Other,Apartment Executive,"Executive Apartment, 1 Bedroom, Kitchen",
apartment ,Other,Other,Apartment Executive,Other,Apartment Executive,"Executive Apartment, 2 Bedrooms",
apartment ,Other,Other,Apartment Executive,Other,Apartment Executive,"Executive Apartment, 2 Bedrooms, Kitchen",
apartment ,Other,Other,Apartment Executive,city ,Apartment Executive,"Executive Apartment, 3 Bedrooms, Private Bathroom, City View",
apartment ,Other,Other,Apartment Executive,Other,Apartment Executive,2 Bedroom Executive Apartment,
apartment ,single ,Other,Apartment premier,Other,Apartment premier,Apartment 1 Bedroom-Premier,
apartment ,single ,Other,Apartment premier,Other,Apartment premier,Apartment Premier One Bedroom,
apartment ,double ,Other,Apartment premier,Other,Apartment premier,Apartment Premier Two Bedrooms,
apartment ,single ,Other,Apartment premier,Other,Apartment premier,Apartment 1 Bedroom - Premier,
apartment ,single ,Other,Apartment premier,Other,Apartment premier,Apartment 1-Bedroom Premier,
apartment club ,double ,Other,Apartment premier,Other,Apartment premier,Apartment 2 Bedroom - Club Room - Premier,
apartment ,double ,Other,Apartment premier,Other,Apartment premier,Apartment 2 Bedroom - Premier,
apartment ,double ,Other,Apartment premier,Other,Apartment premier,Apartment 2 Bedroom Premier,
apartment ,double ,Other,Apartment premier,Other,Apartment premier,Apartment 2 Bedrooms-Premier,
apartment ,double ,Other,Apartment premier,Other,Apartment premier,Apartment 2-Bedroom Premier,
apartment ,triple ,Other,Apartment premier,Other,Apartment premier,Apartment 3 Bedroom Premier,
apartment ,triple ,Other,Apartment premier,Other,Apartment premier,Apartment 3 Bedrooms-Premier,
apartment ,single ,Other,Apartment premier,Other,Apartment premier,Apartment One Bedroom Premier,
apartment ,double ,Other,Apartment premier,Other,Apartment premier,Apartment Two Bedroom Premier,
apartment ,Other,Other,Apartment premier,Other,Apartment premier,2 Bedroom Premier Apartment,
apartment ,Other,Other,Apartment premier,Other,Apartment premier,Premier 2-Bedroom Apartment,
apartment ,Other,Other,Apartment premier,Other,Apartment premier,Premier Apartment,
apartment ,Other,Other,Apartment premier,Other,Apartment premier,"Premier Apartment, 1 Bedroom",
apartment ,Other,Other,Apartment premier,Other,Apartment premier,"Premier Apartment, 1 Bedroom, Kitchen",
apartment ,Other,Other,Apartment premier,Other,Apartment premier,"Premier Apartment, 1 King Bed, Kitchen",
apartment ,Other,Other,Apartment premier,Other,Apartment premier,Premier One Bedroom Apartment With Study Room,
apartment ,Other,Other,Apartment premier,Other,Apartment premier,1 Bedroom Premier Apartment,
apartment ,Other,Other,Apartment premier,Other,Apartment premier,2-Bedroom Premier Apartment,
apartment ,double ,Other,Apartment premium ,Other,Apartment premium ,Apartment 2 Bedroom - Premium,
apartment ,Other,Other,Apartment premium ,Other,Apartment premium ,Premium 2-Bedroom Apartment,
apartment pool ,Other,Other,Apartment premium ,Other,Apartment premium ,"Premium Apartment, 3 Bedrooms, Pool View",
apartment residence ,single ,Other,Apartment residence ,Other,Apartment residence ,Apartment 1 Bedroom-Residence,
apartment residence ,double ,Other,Apartment residence ,Other,Apartment residence ,Apartment 2 Bedrooms-Residence,
apartment residence ,single ,Other,Apartment residence ,Other,Apartment residence ,Apartment One Bedroom Residence,
apartment ,Other,Other,Apartment suite ,Other,Apartment suite ,Apartment Suite,
apartment ,Other,Other,Apartment suite ,Other,Apartment suite ,Apartment Suite.,
apartment ,single ,Other,Apartment suite ,Other,Apartment suite ,"Apartment, 1 Bedroom (Brown Suite)",
apartment ,Other,Other,Apartment suite ,Other,Apartment suite ,Suite One Bedroom Apartment,
apartment ,Other,Other,apartment Superior,Other,apartment Superior,Superior 1-Bedroom Apartment,
apartment ,Other,Other,apartment Superior,Other,apartment Superior,Superior Apartment,
apartment ,Other,Other,apartment Superior,city ,apartment Superior,"Superior Apartment, 1 Bedroom, Accessible, City View",
apartment ,twin single ,Other,apartment Superior,city ,apartment Superior,"Superior Apartment, 3 Bedrooms, City View (1 King , 1 Twin And 1 Single)",
apartment ,Other,Other,apartment Superior,Other,apartment Superior,Superior One-Bedroom Apartment,
Apartment superior ,Other,Other,apartment Superior,Other,apartment Superior,Superior Room With Window,
Apartment superior ,Other,Other,apartment Superior,Other,apartment Superior,Superior Room Without Breakfast,
apartment ,single ,Other,apartment Superior,Other,apartment Superior,Apartment 1 Bedroom - Superior,
apartment ,double ,Other,apartment Superior,Other,apartment Superior,Apartment 2 Bedroom - Superior,
apartment ,single ,Other,apartment Superior,Other,apartment Superior,Apartment Superior One Bedroom,
apartment ,double ,Other,apartment Superior,Other,apartment Superior,Apartment Superior Two Bedrooms,
apartment ,Other,Other,apartment Superior,Other,apartment Superior,1 Bedroom Superior Apartment,
apartment ,Other,Other,apartment Superior,Other,apartment Superior,2 Bedroom Superior Apartment,
Standart,Other,king ,Business,Other,Business,1 King Business Nonsmoking,
Standart,Other,Other,Business,Other,Business,Business,
Standart,Other,Other,Business,Other,Business,Business Class,
Standart,double ,Other,Business,Other,Business,Business Double Room,
Standart,Other,king ,Business,Other,Business,Business King,
Standart,Other,queen ,Business,Other,Business,Business Queen,
Standart,Other,Other,Business,Other,Business,Business Room,
Standart,Other,king ,Business,Other,Business,"Business Room, 1 King Bed, Non Smoking",
Standart,Other,Other,Business,Other,Business,"Business Room, Garden View",
Standart,Other,Other,Business,Other,Business,"Business Room, Park View",
Standart,twin ,Other,Business,Other,Business,Business Twin,
Standart,double ,Other,Business,Other,Business,Double Business,
Standart,double twin ,Other,Business,Other,Business,Double Or Twin Business,
Standart,double ,Other,Business,Other,Business,Double Room - Business,
Standart,double ,king ,Business,Other,Business,Double Room King Bed - Business,
Standart,double ,Other,Business,Other,Business,One Bed Room Business - Double,
Standart,Other,Other,Business,Other,Business,The Business,
Standart,Other,Other,Business Deluxe,Other,Business Deluxe,Business Deluxe,
Standart,Other,Other,Business Deluxe,Other,Business Deluxe,Business Deluxe Room,
Standart,double twin ,Other,Business Deluxe,Other,Business Deluxe,Double Or Twin Business Deluxe,
Standart,Other,Other,Business Suite,Other,Business Suite,Business Suite,
Standart,Other,Other,Business Suite,Other,Business Suite,Business Suite (One Bedroom),
Standart,Other,Other,Business Suite,Other,Business Suite,Business Suite A,
Standart,Other,Other,Business Suite,Other,Business Suite,"Business Suite, 1 Bedroom",
Standart,Other,queen ,Business Superior,Other,Business Superior,Business Superior Queen Room,
capsule ,single ,Other,Capsule,Other,Capsule,2-Single Capsule Private Room,
capsule ,single ,Other,Capsule,Other,Capsule,4-Single Capsule Private Room,
capsule ,Other,queen ,Capsule,Other,Capsule,Female Queen Capsule,
capsule ,Other,Other,Capsule,Other,Capsule,Capsule (2 Persons),
capsule ,Other,Other,Capsule,Other,Capsule,Capsule Beds,
capsule share ,double ,Other,Capsule,Other,Capsule,Capsule Double (Share Bathroom),
capsule ,double ,Other,Capsule,Other,Capsule,Capsule Double Bed,
capsule ,double ,Other,Capsule,Other,Capsule,Double Capsule,
capsule ,Other,queen ,Capsule,Other,Capsule,Queen Capsule,
capsule ,Other,queen ,Capsule,Other,Capsule,Queen Capsule - Female Only,
capsule ,Other,queen ,Capsule,Other,Capsule,Queen Capsule - Mixed,
Standart,Other,Other,Classic ,Other,Classic ,Classic,
Standart,Other,Other,Classic ,Other,Classic ,Classic Air Room,
Standart,double ,Other,Classic ,Other,Classic ,Classic Double,
Standart,double twin ,Other,Classic ,Other,Classic ,Classic Double Or Twin,
Standart,double twin ,Other,Classic ,Other,Classic ,"Classic Double Or Twin Room, 1 Bedroom",
Standart,double twin ,Other,Classic ,Other,Classic ,"Classic Double Or Twin Room, 1 Bedroom, Non Smoking, Courtyard Area",
Standart,double twin ,Other,Classic ,Other,Classic ,"Classic Double Or Twin Room, No Windows",
Standart,double ,Other,Classic ,Other,Classic ,Classic Double Room (Late Check-Out At 2pm),
Standart,double double ,Other,Classic ,Other,Classic ,"Classic Double Room, 1 Double Bed",
Standart,double ,king ,Classic ,Other,Classic ,"Classic Double Room, 1 King Bed",
shared ,double ,Other,Classic ,Other,Classic ,"Classic Double Room, Shared Bathroom",
Standart,Other,Other,Classic ,Garden,Classic ,Classic Garden View,
Standart,Other,king ,Classic ,Other,Classic ,Classic King Bed,
Standart,Other,queen ,Classic ,Other,Classic ,Classic Queen Bed (No Window),
Standart,Other,Other,Classic ,Other,Classic ,Classic Room,
Standart,Other,Other,Classic ,Other,Classic ,Classic Room (Late Check-Out At 2pm),
Standart,double twin ,Other,Classic ,Other,Classic ,Classic Room Double Or Twin,
Standart,double twin ,Other,Classic ,Other,Classic ,"Classic Room, 1 Double Or 2 Twin Beds",
Standart,double twin ,Other,Classic ,city ,Classic ,"Classic Room, 1 Double Or 2 Twin Beds, City View",
Standart,Other,king ,Classic ,Other,Classic ,"Classic Room, 1 King Bed, Non Smoking",
Standart,Other,queen ,Classic ,Other,Classic ,"Classic Room, 1 Queen Bed",
shared dormitory shared ,double ,Other,Classic ,Other,Dormitory,"Classic Shared Dormitory, 2 Double Beds, Non Smoking, Shared Bathroom",
Standart,triple ,Other,Classic ,Other,Classic ,Classic Triple Room,
Standart,twin ,Other,Classic ,Other,Classic ,Classic Twin,
Standart,twin ,Other,Classic ,Other,Classic ,Classic Twin Room,
Standart,twin twin ,Other,Classic ,Other,Classic ,"Classic Twin Room, 2 Twin Beds, Non Smoking",
Standart,Other,Other,Classic ,Other,Classic ,Cozy Classic Foc Late C/O 2pm,
Standart,double ,Other,Classic ,Other,Classic ,Double Classic One Bedroom,
Standart,double ,Other,Classic ,Other,Classic ,Double Classy Room,
Standart,double ,Other,Classic ,Other,Classic ,Double Nuve Classic,
Standart,double twin ,Other,Classic ,Other,Classic ,Double Or Twin Classic Harbour View,
Standart,double ,Other,Classic ,Other,Classic ,Double Room - Classic,
Standart,double ,king ,Classic ,Other,Classic ,Double Room King Bed - Classic,
Standart,double ,queen ,Classic ,Other,Classic ,Double Room Queen Bed - Classic,
Standart,Other,Other,Classic ,Other,Classic ,Maduzi Classic,
Standart,Other,Other,Classic ,Other,Classic ,Maduzi Classic Room,
Standart,Other,Other,Classic ,Other,Classic ,Nuve Classic,
Standart,Other,Other,Classic ,Other,Classic ,Nuve Classic Room,
Standart,Other,Other,Classic ,Other,Classic ,One Bedroom Classic,
Standart,Other,king ,Classic ,Other,Classic ,Sl2 Classic: King Room With Private External Bathroom,
Standart,triple ,Other,Classic ,Other,Classic ,Triple Room - Classic,
Standart,twin ,Other,Classic ,Other,Classic ,Twin Classic,
Standart,twin ,Other,Classic ,Other,Classic ,Twin Classic Hollywood,
Standart,twin ,Other,Classic ,Other,Classic ,Twin Room - Classic,
Standart,twin double ,Other,Classic ,city ,Classic ,Twin/Double Room - Classic - City View,
Standart,twin double ,Other,Classic ,Other,Classic ,Twin/Double Room - Classic - Park View,
Standart,Other,king ,Classic ,Other,Classic ,Wl Classic: King Room With Private Bathroom,
apartment ,Other,Other,Classic apartment ,Other,Classic apartment ,"Classic Apartment, 1 Bedroom, Kitchen",
apartment ,Other,Other,Classic apartment ,Other,Classic apartment ,Classic One Bedroom Apartment,
Standart,Other,Other,classic deluxe ,Other,classic deluxe ,Classic Deluxe,
Standart,double twin ,Other,classic deluxe ,Other,classic deluxe ,Double Or Twin Classic Deluxe,
Standart,double ,king ,classic deluxe ,Other,classic deluxe ,Double Room King Bed - Classic - Deluxe,
Standart,double twin ,Other,classic deluxe ,city ,classic deluxe ,Hanoi Classic &Amp, Local Life - Deluxe Double Or Twin Room With Balcony And City View
Standart,Other,Other,classic deluxe ,Other,classic deluxe ,Deluxe Classic,
shared ,Other,Other,classic dormitory,Other,classic dormitory,"Classic Room, Shared Bathroom",
shared dormitory ,Other,Other,classic dormitory,Other,classic dormitory,Classic Shared Dormitory,
shared dormitory ,Other,Other,classic dormitory,Other,classic dormitory,"Classic Shared Dormitory, 1 Bedroom",
Standart,Other,Other,Classic executive  ,Other,Classic executive  ,Executive Classic King Bed,
family ,Other,Other,classic Family,Other,classic Family,Classic Family Room,
Standart,Other,Other,classic premium ,Other,classic premium ,Classic Premium,
Standart,Other,Other,classic quadruple ,Other,classic quadruple ,Classic Quadruple Room,
studio apartment ,Other,Other,classic studio,Other,classic studio,Classic Studio Apartment,
Standart,Other,Other,classic suite ,Other,classic suite ,2-Bedroom Classic Suite,
Standart,Other,Other,classic suite ,Other,classic suite ,Classic 2-Bedroom Suite,
Standart,Other,Other,classic suite ,Other,classic suite ,Classic Suite,
Standart,Other,Other,classic suite ,Other,classic suite ,Classic Suite.,
Standart,Other,Other,classic suite ,Other,classic suite ,Suite Classic,
Standart,Other,Other,classic suite ,Other,classic suite ,Suite Two Bedroom Classic,
Standart,Other,Other,classic superior ,Other,classic superior ,Classic Silk (Superior),
Standart,Other,Other,classic superior ,Other,classic superior ,Classic Superior,
club ,Other,king ,Club,Other,Club,1 King Bed Club Nonsmoking,
club ,double ,Other,Club,Other,Club,Club Double Room,
club ,Other,Other,Club,Other,Club,Club Floor,
club ,Other,Other,Club,Other,Club,Club Garden + Breakfast,
club ,Other,Other,Club,Garden,Club,Club Garden View,
club ,Other,Other,Club,Other,Club,Club Grand,
club ,Other,king ,Club,Other,Club,Club Intercontinental Room King,
