bedType,bed,roomType,view,master_room_type,room_name,
double twin  ,,classic ,,Classic,Twin/Double Room - Classic,
single ,,classic ,,Classic,Classic Room 4 Person (Super Single Bed),
twin ,,classic ,,Classic,Twin Classic,
twin ,,classic ,,Classic,Twin Room - Classic,
,,classic ,,Classic,Classic Room,
double ,,classic premium ,City,Classic Premium,Classic Premium Double Room With No View,
double ,,classic premium ,City,Classic Premium,Classic Premium Double Room With City View,
double twin ,,classic premium ,,Classic Premium,Double Or Twin Classic Premium,
single ,,classic premium ,,Classic Premium,Classic Premium Single Room With City View,
single  twin ,,classic premium ,,Classic Premium,Single Or Twin Classic Premium,
twin ,,classic premium ,,Classic Premium,"Classic Premium Room, 3 Twin Beds",
twin ,,classic premium ,,Classic Premium,"Classic Premium Room, 2 Twin Beds",
,,classic premium ,,Classic Premium,Classic Premium,
double ,,,,Club,Double Club,
double ,,,,Club,Double Club Room Plus,
double ,,,Towers,Club,Double Club Twin Towers View Room,
double ,,,Towers,Club,Double Club Twin-Tower View,
double ,,,,Club,Double Room - Club Room,
double twin ,,,,Club,Double Or Twin Club,
double twin ,,,,Club,Twin/Double Room - Club Room,
single ,,,,Club,2 Single Club Nonsmoking,
twin ,,,,Club,Club Twin,
twin ,,,,Club,Club Twin Room,
twin ,,,,Club,Club Twin Room With View,
twin ,,,,Club,Twin Club,
twin ,,,,Club,Twin Club Room Plus,
twin ,,,Towers,Club,Twin Club Towers View,
twin ,,,,Club,Twin Royal Club,
,,,,Club,Club,
,,,,Club,Club Room With Club Benefits,
,,,,Club,Club Twin Towers View,
,,,,Club,Club With Club Benefits,
,king ,,Garden,Club,Club Garden View King,
,king ,,,Club,Club King,
,king ,,,Club,Club King Room,
,king ,,,Club,Club King View,
,king ,,,Club,"Club Room, 1 King Bed, Smoking",
,king ,,,Club,Club Tower King Room,
,king ,,,Club,Double Room King Bed - Club Room,
,queen ,suite ,,Club Junior Suite,Club Junior Suite With Queen Bed - Club Lounge Access For Adults Only,
,king ,suite ,,Club Junior Suite,Club Junior Suite With King  - Club Lounge Access For Adults Only,
,queen ,suite ,,Club Junior Suite,Club Junior Suite With Queen - Club Lounge Access For Adults Only,
,king ,suite ,,Club Junior Suite,Club Junior Suite With King Bed - Club Lounge Access For Adults Only,
,queen ,suite ,,Club Junior Suite,Club Junior Suite With Queen – Club,
,king ,suite ,,Club Junior Suite,Club Junior Suite With King Bed – Club,
,queen ,suite ,,Club Junior Suite,Club Junior Suite With Queen Bed,
,king ,suite ,,Club Junior Suite,Club Junior Suite With King – Club,
,queen ,suite ,,Club Junior Suite,Club Junior Suite With Queen,
,king ,suite ,,Club Junior Suite,Club Junior Suite With King Bed,
,queen ,premier ,,Club Premier,Club Room - Premier,
twin ,,premier ,,Club Premier,Twin Room - Club Room - Premier,
double  ,,premier ,,Club Premier,Double - Club Premier ,
single ,,premier ,,Club Premier,Single Orchid Club Premier,
,queen ,premier ,,Club Premier,Club - Premier,
twin ,,premier ,,Club Premier,Twin Room - Club  - Premier,
double  ,,premier ,,Club Premier,Double - Club Premier Room,
,,premier ,,Club Premier,Orchid Club Premier,
double twin ,king ,premier ,,Club Premier,Twin/Double King Room - Club Room - Premier,
double twin ,queen ,premier ,,Club Premier,Twin/Double Queen Room - Club Room - Premier,
double twin ,,premier ,,Club Premier,Twin/Double Room - Club Room - Premier,
double twin  ,,premier ,,Club Premier,Twin/Double Orchid Club Premier ,
twin ,,premier ,,Club Premier,Twin Orchid Club Premier,
double twin ,,deluxe ,,Corporate Deluxe,Twin/Double Room Corporate Deluxe,
,,deluxe ,,Corporate Deluxe,Corporate Deluxe Hotel,
single twin ,,executive suite ,,Corporate Executive Suite,Corporate Executive Suite Single/Double Room,
,,executive suite ,,Corporate Executive Suite,Corporate Executive Suite Hotel,
double ,,deluxe ,,Corporate Deluxe,Double Room Corporate Deluxe,
,,deluxe ,,Corporate Deluxe,Corporate Deluxe Hotels,
double twin ,,executive suite ,,Corporate Executive Suite,Corporate Executive Suite Twin/Double Room,
,,executive suite ,,Corporate Executive Suite,Corporate Executive Suite room Hotel ,
double ,,executive suite ,,Corporate Executive Suite,Corporate Executive Suite Double Room,
twin ,,executive suite ,,Corporate Executive Suite,Corporate Executive Suite Twin Room,
double twin ,,deluxe ,,Corporate Deluxe,Twin/Double Corporate Deluxe,
double twin ,,deluxe ,,Corporate Deluxe,Twin/Double room Corporate Deluxe,
double twin ,,deluxe ,,Corporate Deluxe,Twin/Double rooms Corporate Deluxe,
,,deluxe ,,Corporate Deluxe,Corporate Deluxe,
double twin ,,executive suite ,,Corporate Executive Suite,Corporate Executive Suite Twin/Double,
,,executive suite ,,Corporate Executive Suite,Corporate Executive Suite,
double ,,,,Deluxe,De Luxe Double Bed Room,
double ,,,,Deluxe,Deluxe - Double,
double ,,,,Deluxe,Deluxe Double,
double ,,,,Deluxe,Deluxe Double Room,
double ,,,,Deluxe,"Deluxe Double Room, 1 Queen Bed",
double ,,,City,Deluxe,"Deluxe Double Room, City View",
double ,,,,Deluxe,"Deluxe Double Room, No Windows",
double ,,,,Deluxe,Deluxe Double Window,
double ,,,,Deluxe,"Deluxe Room, 1 Double Bed",
double ,,,,Deluxe,"Deluxe Zen Double, 1 Queen Bed",
double ,,,,Deluxe,Double Deluxe,
double ,,,,Deluxe,Double Luxe,
double ,,,,Deluxe,Double Luxe-Crib,
double ,,,,Deluxe,Double Room - Deluxe,
double ,,,,Deluxe,Double Room Deluxe,
double ,,,,Deluxe,Double Twin-Tower View Deluxe,
double ,king ,,,Deluxe,Double Deluxe King,
double ,king ,,,Deluxe,Double Deluxe King Bed,
double ,king ,,,Deluxe,Double Room King Bed - Deluxe,
double ,king ,,,Deluxe,Deluxe Double Or King Room,
double single ,,,,Deluxe,"Deluxe Room, 1 Double Or 2 Single Bed",
double single ,,,,Deluxe,"Deluxe Room, 1 Double Or 2 Single Beds",
double single ,,,,Deluxe,"Deluxe Room, 1 Double Or 2 Single Beds With Big Window",
double single ,,,,Deluxe,Deluxe Single / Double,
double single ,,,,Deluxe,Deluxe Single Or Double Room,
double twin ,,,,Deluxe,Deluxe (Double Or Twin Bed),
double twin ,,,,Deluxe,Deluxe Double Or Twin,
double twin ,,,,Deluxe,Deluxe Double Or Twin Bed,
double twin ,,,City,Deluxe,"Deluxe Double Or Twin Room, City View",
double twin ,,,,Deluxe,Deluxe Double/Twin,
double twin ,,,,Deluxe,Double Or Twin Deluxe,
double twin ,,,,Deluxe,Twin/double Room - Deluxe,
double twin ,,,,Deluxe,Twin/Double Room - Deluxe - Balcony,
double twin ,,,,Deluxe,Twin/Double Room - Deluxe - Tower,
single ,,,,Deluxe,2 Single Beds Deluxe,
single ,,,,Deluxe,2 Single Deluxe Smoking,
single ,,,,Deluxe,Deluxe 2 Single Beds,
single ,,,,Deluxe,Deluxe Room 2 Single Beds,
single ,,,,Deluxe,"Deluxe Room, 2 Single Beds",
single ,,,,Deluxe,Deluxe Single,
single ,,,,Deluxe,Deluxe Single Room,
twin ,king ,,,Deluxe,Corporate Deluxe King Or Twin,
twin ,king ,,,Deluxe,Deluxe King Or Twin Room With Window,
twin ,king ,,,Deluxe,Deluxe Twin/King,
twin ,,deluxe ,,Deluxe,Twin Deluxe Plus,
,,,,Deluxe,*Deluxe,
,,,,Deluxe,1 Bedroom Deluxe,
,,,,Deluxe,Deluxe,
,,,,Deluxe,Deluxe - No Window,
,,,,Deluxe,Deluxe Balcony Room,
,,,,Deluxe,Deluxe No Window,
,,,,Deluxe,Deluxe One Bedroom Studio,
,,,,Deluxe,Deluxe Plus Room - Room Only (Bar).,
,,,,Deluxe,Deluxe Plus Room - Room With Breakfast (Bar),
,,,,Deluxe,Deluxe Room,
,,,,Deluxe,Deluxe Room (Newly Renovated!),
,,,,Deluxe,Deluxe Room (Newly Renovated),
,,,,Deluxe,Deluxe Room (No View) - Room Only (Bar),
,,,,Deluxe,Deluxe Room (No View) - Room With Breakfast (Bar),
,,,Sea,Deluxe,Deluxe Room (Non Seaview),
,,,Towers,Deluxe,Deluxe Room (Twin Tower View),
,,,,Deluxe,Deluxe Room - Klcc View,
,,,,Deluxe,Deluxe Room Bbf - Klcc View,
,,,,Deluxe,Deluxe Room With Breakfast,
,,,,Deluxe,Deluxe Room With Window,
,,,,Deluxe,"Deluxe Room, 1 Bedroom",
,,,City,Deluxe,"Deluxe Room, City View",
,,,,Deluxe,"Deluxe Room, Connecting Rooms",
,,,,Deluxe,"Deluxe Room, Non Smoking",
,,,Sea,Deluxe,"Deluxe Room, Sea View",
,,,Towers,Deluxe,"Deluxe Room, View (Twin Towers)",
,,,,Deluxe,Deluxe Room.,
,,,Towers,Deluxe,Deluxe Twin Towers View,
,,,,Deluxe,Deluxe With Breakfast,
,,,,Deluxe,Deluxe With Window,
,,,,Deluxe,Deluxe.,
,,,,Deluxe,Luxe,
,,,,Deluxe,Luxe Room,
,king ,,,Deluxe,Deluxe (King),
,king ,,,Deluxe,Deluxe King,
,king ,,,Deluxe,Deluxe King - 4 Hours,
,king ,,,Deluxe,Deluxe King Room,
,king ,,,Deluxe,Deluxe Room 1 King Bed,
,king ,,,Deluxe,Deluxe Room Renovated - King Bed (Ns),
,king ,,,Deluxe,"Deluxe Room, 1 King Bed",
,king ,,,Deluxe,"Deluxe Room, 1 King Bed / 2 Single Beds(Orchid)",
,king ,,City,Deluxe,"Deluxe Room, 1 King Bed, City View",
,king ,,Garden,Deluxe,"Deluxe Room, 1 King Bed, Garden View",
,king ,,,Deluxe,King Deluxe,
,king ,,Towers,Deluxe,Traders Twin Towers King,
,king ,,,Deluxe,Traders Twin Towers View 1 King,
,queen ,,,Deluxe,Corporate Deluxe Queen,
,queen ,,,Deluxe,Deluxe Queen,
,queen ,,,Deluxe,Deluxe Queen Room,
,queen ,,,Deluxe,Deluxe Queen Room With Window,
,queen ,,,Deluxe,Deluxe Queen Room Without Window,
,queen ,,,Deluxe,Deluxe Queen.,
,queen ,,,Deluxe,"Deluxe Room, 1 Queen Bed",
,queen ,,,Deluxe,Queen/Queen - Deluxe,
,,,,Deluxe,Deluxe Standard,
,,,,Deluxe,Deluxe Chalet,
double ,,deluxe ,,Deluxe Club,Double Club Deluxe,
double twin ,,deluxe ,,Deluxe Club,Double Or Twin Club Deluxe,
double twin ,,deluxe ,,Deluxe Club,Twin/double Room - Deluxe - Club Room,
twin ,king ,deluxe ,,Deluxe Club,Club Deluxe King Or Twin,
twin ,,deluxe ,,Deluxe Club,Twin Club Deluxe,
,king ,deluxe ,,Deluxe Club,Club Deluxe King Room,
,king ,deluxe ,,Deluxe Club,Club Deluxe Room With King Bed - Club Lounge Access For Adults Only,
,king ,deluxe suite ,,Deluxe Duplex Suite,Deluxe Duplex Suite King Bed,
double ,,deluxe executive ,,Deluxe Executive,Double Deluxe Executive Club,
double ,,deluxe executive ,,Deluxe Executive,Double Deluxe Executive,
double ,,deluxe executive ,,Deluxe Executive,Double Deluxe-Executive,
double ,,deluxe executive ,,Deluxe Executive,Double Room - Executive - Deluxe,
double twin ,,deluxe executive ,,Deluxe Executive,Twin/Double Room - Deluxe - Executive,
twin ,,deluxe executive ,,Deluxe Executive,Executive Deluxe Twin,
twin ,,deluxe executive ,,Deluxe Executive,Twin Deluxe Executive,
twin ,,deluxe executive ,,Deluxe Executive,Twin Deluxe-Executive,
twin ,,deluxe executive ,,Deluxe Executive,Twin Executive Deluxe,
twin ,,deluxe executive ,,Deluxe Executive,Twin Lady Astor And Executive Deluxe,
twin ,,deluxe executive ,City,Deluxe Executive,Twin Room - Deluxe - Executive - City View,
twin ,,deluxe executive ,,Deluxe Executive,Twin Room - Executive - Deluxe,
,,deluxe executive ,,Deluxe Executive,Deluxe Executive,
,king ,deluxe executive ,City,Deluxe Executive,Double Room King Bed - Executive - City View,
,,deluxe executive quadruple ,,Deluxe Executive,Quadruple Room - Deluxe - Executive,
,,deluxe executive ,,Deluxe Executive,Triple Room - Deluxe - Executive,
,,deluxe executive suite ,,Deluxe Executive Suite,Executive Deluxe Suite,
,,deluxe ,,Deluxe Family,Deluxe 4 Bed Family Room,
,,deluxe ,,Deluxe Family,Deluxe Family,
,,deluxe ,,Deluxe Family,Deluxe Family Room,
,,deluxe ,,Deluxe Penthouse,Deluxe Penthouse,
,,deluxe ,,Deluxe Penthouse,Penthouse Deluxe,
double twin ,,premier ,,Deluxe Premier,Double Or Twin Deluxe Premier,
double twin ,,premier ,,Deluxe Premier,Twin/Double Room - Deluxe - Premier,
double twin ,,premium ,,Deluxe Premier,Double Or Twin Deluxe Premium,
double twin ,,premium ,,Deluxe Premier,Twin/Double Room - Premium - Deluxe,
twin ,,premier ,,Deluxe Premier,Premier Deluxe Twin Room,
,,premium ,,Deluxe Premier,Deluxe Premium,
,,premium ,,Deluxe Premier,Deluxe Premium.,
,,premium ,,Deluxe Premier,Premium Deluxe,
,,quadruple ,City,Deluxe Premier,"Deluxe Quadruple Room, 2 Double Beds, Accessible, City View",
double twin ,,,,Deluxe Studio,"Deluxe Studio, 1 Double Or 2 Single Beds",
double twin ,,,,Deluxe Studio,Double Or Twin Deluxe Studio,
double twin ,,,,Deluxe Studio,Double Or Twin Deluxe-Studio,
single ,,,,Deluxe Studio,"Deluxe Studio, 2 Single Beds",
twin ,,deluxe ,,Deluxe Studio,Deluxe Studio Twin,
twin ,,deluxe ,,Deluxe Studio,Deluxe Twin Studio,
twin ,,deluxe ,,Deluxe Studio,Studio Deluxe Twin,
,,,,Deluxe Studio,Deluxe Studio,
,,,,Deluxe Studio,Deluxe Studio (Type B),
,,,,Deluxe Studio,"Deluxe Studio, 2 Single Beds",
,,deluxe suite ,,Deluxe Studio Suite,Deluxe Studio Suite,
double ,,suite ,,Deluxe Suite,Double Deluxe Suite,
double ,,suite ,,Deluxe Suite,Double Deluxe-Suite,
triple ,,suite ,,Deluxe Suite,Triple Luxe Suite,
triple ,,superior ,,Deluxe,Superior Deluxe Triple,
triple ,,deluxe ,,Deluxe,Deluxe Room (Triple),
triple ,,deluxe ,,Deluxe,Deluxe Triple,
triple ,,deluxe ,,Deluxe,Deluxe Triple Room,
triple ,,deluxe ,,Deluxe,Triple Room – Deluxe,
triple double single ,,deluxe ,,Deluxe,Deluxe Triple - 1 Double Bed And 1 Single Bed,
twin ,,deluxe ,,Deluxe,Deluxe Room Renovated - Twin Bed (Ns),
twin ,,deluxe ,,Deluxe,"Deluxe Room, 2 Twin Beds",
twin ,,deluxe ,,Deluxe,Deluxe Twin,
twin ,,deluxe ,,Deluxe,Deluxe Twin (1 Queen And 1 Single),
twin ,,deluxe ,City,Deluxe,Deluxe Twin Room,
twin ,,deluxe ,,Deluxe,"Deluxe Twin Room, City View",
twin ,,deluxe ,,Deluxe,Deluxe Twin Towers View Twin,
twin ,,deluxe ,,Deluxe,Deluxe Zen Twin,
twin ,,deluxe ,,Deluxe,Deluxe/Twin,
twin ,,deluxe ,,Deluxe,Twin Deluxe,
twin ,,deluxe ,,Deluxe,Twin Luxe,
twin ,,deluxe ,,Deluxe,Twin Room - Deluxe,
twin ,,deluxe ,,Deluxe,Twin Room - Deluxe - Tower,
,,suite ,,Deluxe Suite,Deluxe Suite,
,,suite ,,Deluxe Suite,"Deluxe Suite, 1 Bedroom",
,,suite ,,Deluxe Suite,"Deluxe Suite, 3 Bedrooms, Kitchenette",
,,suite ,,Deluxe Suite,Suite - Deluxe,
,,suite ,,Deluxe Suite,Suite Deluxe,
,,suite ,,Deluxe Suite,Suite Deluxe-Suite,
,king ,suite ,,Deluxe Suite,Deluxe Suite With King Bed,
,,deluxe ,,Deluxe Villa,Deluxe Villa With Breakfast,
,,deluxe ,Garden,Deluxe Villa,"Deluxe Villa, 1 Double Bed, Garden View, Garden Area",
,,deluxe ,,Deluxe Villa,Villa - Deluxe,
,,deluxe VIP,,Deluxe VIP,Deluxe Vip,
,,suite ,,Diamond Suite,Diamond Suite,
,,,,Dormitory,Male Dormitory,
twin ,,,,Dormitory,Mixed Dormitory Twin,
twin ,,,,Dormitory,Mixed Dormitory Twin Room,
double ,,,,Dormitory,Mixed Dormitory Double,
double ,,,,Dormitory,Mixed Dormitory Double room,
double twin ,,,,Dormitory,Mixed Dormitory Twin/Double,
double twin ,,,,Dormitory,Mixed Dormitory Twin/Double Room,
double ,,,,Double,Double Room,
double ,,,,Double,Double Smoking,
double ,,,Towers,Double,Double Twin Tower View,
double ,,,,Double,Ground Floor Double Room,
double ,,,,Double,My Double Room,
double ,,,,Double,Upper Floor Double Room,
double ,king ,,,Double,Double - King Bed,
double ,king ,,,Double,Double King,
double ,king ,,,Double,Double King Bed Room,
double ,king ,,,Double,Double King Size Bed,
double ,king ,,,Double,Double Room King Bed,
double ,queen ,,,Double,"Double Room, 1 Queen Bed, Shared Bathroom",
double twin ,,,,Double,Comfort Double Or Twin Room,
double twin ,,,,Double,Double / Twin Room,
double twin ,,,,Double,Double Or Twin,
double twin ,,,,Double,Double Or Twin Room With Private Barthroom,
double twin ,,,,Double,Double Or Twin Room With Private Bathroom,
double twin ,,,,Double,Twin/Double Room,
double twin ,,,,Double,Twin/Double Room - No View,
triple ,,,,Duplex,Triple Duplex,
,,Duplex,,Duplex,Duplex,
,,Duplex,,Duplex,Duplex 2 Bed Room,
,,Duplex,,Duplex,Duplex Room,
,,Duplex quadruple ,,Duplex,Duplex Quadruple Room,
,,Duplex,,Duplex Family,Duplex Family (4 Adults),
,,Duplex suite ,,Duplex Family Suite,Duplex Family Suite,
,,Duplex Premium,,Duplex Premium,Duplex Premium Room,
,,Duplex suite ,,Duplex Royal Suite,Suite Royal Duplex,
,,Duplex suite ,,Duplex Standard Suite,Standard Duplex Suite,
twin ,,Duplex suite ,,Duplex Suite,Duplex Suite twin,
double ,,Duplex suite ,,Duplex Suite,One Bedroom Duplex Suite double,
twin ,,Duplex suite ,,Duplex Suite,Suite – Duplex twin,
double ,,Duplex suite ,,Duplex Suite,Suite Duplex Suite double,
twin ,,Duplex suite ,,Duplex Suite,Suite One Bedroom Duplex twin,
,king ,Duplex suite ,,Duplex Suite,"Duplex Suite, 1 King Bed ",
,,Duplex suite ,,Duplex Suite,Duplex Suite,
,,Duplex suite ,,Duplex Suite,One Bedroom Duplex Suite,
,,Duplex suite ,,Duplex Suite,Suite - Duplex,
,,Duplex suite ,,Duplex Suite,Suite Duplex Suite,
,,Duplex suite ,,Duplex Suite,Suite One Bedroom Duplex,
,king ,Duplex suite ,,Duplex Suite,"Duplex Suite, 1 King Bed",
twin ,,,,Economy,Economy Twin Room,
,queen ,,,Economy,Economy Queen Room,
double ,,executive ,,Executive,Double Room - Executive,
double ,,executive ,,Executive,Executive Double Room,
double ,,executive ,,Executive,"Executive Single Room, 1 Double Bed",
double ,king ,executive ,,Executive,Double Executive King Bed,
double single ,,executive ,,Executive,"Executive Room, 1 Double Or 2 Single Bed",
double twin ,,executive ,,Executive,Twin/double Room - Executive,
single ,king ,executive ,,Executive,"Executive Room Lounge Access, 1 King Or 2 Twin/ Single Bed(S), Mini Fridge, 30sq",
single ,,executive ,,Executive,Executive 2 Single Beds,
single ,,executive ,,Executive,Executive Room 2 Single Beds,
triple ,,executive ,,Executive,Executive Triple,
triple ,,executive ,Sea,Executive,"Executive Triple Room, Sea View",
twin ,,executive ,,Executive,"Executive Room, 2 Twin Beds",
,,executive ,,Executive,1 Bedroom Executive,
,,executive ,,Executive,Executive Room,
,,executive ,Sea,Executive,"Executive Room, Sea View",
,,executive ,,Executive,One Bedroom Executive,
,king ,executive ,,Executive,"Executive Room, 1 King Bed",
,king ,executive ,,Executive,"Executive Room, 1 King Bed, Business Lounge Access",
,,executive quadruple ,,Executive,Quadruple Executive,
,queen ,executive ,,Executive,Executive Queen,
,queen ,executive ,,Executive,Executive Queen Room,
,queen ,executive ,,Executive,Executive Room (Queen),
,,executive suite ,,Executive Apartment Suite,Executive Suite Apartment ,
,,executive suite ,,Executive Apartment Suite,Executive Suite Apartment room,
twin ,,executive suite ,,Executive Apartment Suite,Executive Suite Apartment twin,
double ,,executive suite ,,Executive Apartment Suite,Executive Suite Apartment double,
double twin ,,executive suite ,,Executive Apartment Suite,Executive Suite Apartment twin/double,
double twin ,,executive suite ,,Executive Apartment Suite,Executive Suite Apartment double/twin,
double twin ,,executive suite ,,Executive Apartment Suite,Executive Suite Apartment twin/double room,
double twin ,,executive suite ,,Executive Apartment Suite,Executive Suite Apartment double/twin room,
twin ,queen ,executive classic ,,Executive Classic,Executive Classic Twin queen room,
,king ,executive classic ,,Executive Classic,Executive Classic double/twin room,
double twin ,,executive classic ,,Executive Classic,Executive Classic double/twin,
double,king ,executive classic ,,Executive Classic,Executive Classic King double room,
twin ,queen ,executive classic ,,Executive Classic,Executive Classic Twin queen,
,king ,executive classic ,,Executive Classic,Executive Classic double King room,
twin ,,executive classic ,,Executive Classic,Executive Classic Twin room,
,king ,executive classic ,,Executive Classic,Executive Classic King room,
double twin ,,executive classic ,,Executive Classic,Executive Classic Twin/double,
double,king ,executive classic ,,Executive Classic,Executive Classic King double room,
twin ,,executive classic ,,Executive Classic,Executive Classic Twin,
,king ,executive classic ,,Executive Classic,Executive Classic King,
double twin ,,executive ,,Executive Club,Double Or Twin Executive Club room,
double twin ,,executive ,,Executive Club,Twin/Double Room - Club Room – Executive room,
,king ,executive ,,Executive Club,Double Room King Bed - Executive - Club Room,
,king ,executive ,,Executive Club,Executive Club King room,
double twin ,,executive ,,Executive Club,Double Twin Executive Club,
double twin ,,executive ,,Executive Club,Twin/Double - Club Room - Executive,
twin ,king ,executive ,,Executive Club,Twin Room King Bed - Executive - Club Room,
twin,king ,executive ,,Executive Club,Executive Club King twin,
double twin ,,executive ,,Executive Club,Double Or Twin Executive Club,
double twin ,,executive ,,Executive Club,Twin/Double Room - Club Room - Executive,
,king ,executive ,,Executive Club,Double Room King Bed - Executive - Club Room,
,king ,executive ,,Executive Club,Executive Club King,
,,executive suite ,,Executive Club Suite,Club Executive Suite,
,,executive suite ,,Executive Club Suite,Executive Club Plaza Suite,
,,executive suite ,,Executive Club Suite,Suite - Executive - Club Room,
,,executive suite ,,Executive Club Suite,Suite 2 Bedrooms - Executive - Club Room,
,,executive suite ,,Executive Club Suite,Suite Club Executive,
,,executive deluxe ,,Deluxe Executive,Deluxe Room (Executive),
,,executive deluxe ,,Deluxe Executive,Executive Deluxe,
,,executive deluxe ,,Deluxe Executive,Executive Room (Deluxe),
,,executive deluxe suite ,,Deluxe Executive,Executive Deluxe Suite,
double twin ,,executive ,,Executive Horizon,Double/twin Horizon Executive,
double twin ,,executive ,,Executive Horizon,Twin/double Horizon Executive,
double twin ,,executive ,,Executive Horizon,Double/twin room Horizon Executive,
double twin ,,executive ,,Executive Horizon,Twin/Double Room Horizon Executive,
double ,,executive ,,Executive Horizon,Double Horizon Executive,
twin ,,executive ,,Executive Horizon,Twin Horizon Executive,
double,,executive ,,Executive,Executive Luxury double,
twin,,executive suite ,,Executive Suite,Executive Luxury Suite twin,
double twin ,,executive suite ,,Executive Suite,Executive Luxury Suite twin/double,
,,executive ,,Executive,Executive Luxury,
,,executive suite ,,Executive Suite,Executive Luxury Suite,
double,,executive ,,Executive,Executive Luxury double room,
twin,,executive suite ,,Executive Suite,Executive Luxury Suite twin room,
double twin ,,executive suite ,,Executive Suite,Executive Luxury Suite twin/double room,
,,executive ,,Executive Pool Villa,Executive Pool Villa,
,,executive ,,Executive Pool Villa,Villa - Executive - Pool,
twin ,,executive premier ,,Executive Premier,Executive Premier Twin Room,
twin ,,executive premier ,,Executive Premier,Twin Premier Executive,
double ,,executive ,,Executive Studio,Double Executive Studio,
double ,,executive ,,Executive Studio,Double Studio Executive,
double ,,executive ,,Executive Studio,Double Studio-Executive,
double ,,executive ,,Executive Studio,Studio Executive Double,
double twin ,,executive ,,Executive Studio,Double Or Twin Studio Executive,
double twin ,,executive ,,Executive Studio,Double/Twin Studio-Executive,
single ,,executive ,,Executive Studio,"Executive Studio, 2 Single Beds, Kitchen",
triple ,,executive ,,Executive Studio,Executive Triple Studio,
twin ,,executive ,,Executive Studio,Executive Twin Studio,
twin ,,executive ,,Executive Studio,Studio Executive Twin,
,,executive ,,Executive Studio,"Executive Studio, 1 King Bed",
,,executive ,,Executive Studio,"Executive Studio, 2 Single Beds",
,king ,executive ,,Executive Studio,Executive King Studio,
,king ,executive ,,Executive Studio,Executive King Studio 1 King Bed & Sofa Bed,
,queen ,executive ,,Executive Studio,"Executive Studio, 1 Queen Bed, Kitchen",
double ,,executive suite ,,Executive Suite,Double Executive Suite,
double ,,executive suite ,,Executive Suite,"Executive Suite, 1 Double Bed",
double twin ,,executive suite ,,Executive Suite,Double Or Twin Executive Suite,
double twin ,,executive suite ,,Executive Suite,Double Or Twin Four Seasons Executive Suite,
double twin ,,executive suite ,,Executive Suite,"Executive Suite, 1 Double Or 2 Twin Beds",
,,executive suite ,,Executive Suite,Executive Suite,
,,executive suite ,,Executive Suite,Executive Suite - 2-Bedroom,
,,executive suite ,,Executive Suite,"Executive Suite, 1 Bedroom",
,,executive suite ,,Executive Suite,"Executive Suite, 2 Single Beds",
,,executive suite ,,Executive Suite,Executive Suite.,
,,executive suite ,,Executive Suite,Suite - Executive,
,,executive suite ,,Executive Suite,Suite Executive,
,,executive suite ,,Executive Suite,Suite Executive Suite,
,king ,executive suite ,,Executive Suite,Executive King Suite,
,king ,executive suite ,,Executive Suite,Executive Suite 1 King Bed,
,king ,executive suite ,,Executive Suite,Executive Suite With 1 King Bed,
,king ,executive suite ,,Executive Suite,"Executive Suite, 1 King Bed, Bathtub",
