bedType,bed,roomType,view,master_room_type,room_name,
double ,Other,classic premium ,City,Classic Premium,Classic Premium Double Room With City View,
double twin ,Other,classic premium ,Other,Classic Premium,Double Or Twin Classic Premium,
single ,Other,classic premium ,Other,Classic Premium,Classic Premium Single Room With City View,
single  twin ,Other,classic premium ,Other,Classic Premium,Single Or Twin Classic Premium,
twin ,Other,classic premium ,Other,Classic Premium,"Classic Premium Room, 3 Twin Beds",
twin ,Other,classic premium ,Other,Classic Premium,"Classic Premium Room, 2 Twin Beds",
Other,Other,classic premium ,Other,Classic Premium,Classic Premium,
double ,Other,Other,Other,Club,Double Club,
double ,Other,Other,Other,Club,Double Club Room Plus,
double ,Other,Other,Towers,Club,Double Club Twin Towers View Room,
double ,Other,Other,Towers,Club,Double Club Twin-Tower View,
double ,Other,Other,Other,Club,Double Room - Club Room,
double twin ,Other,Other,Other,Club,Double Or Twin Club,
double twin ,Other,Other,Other,Club,Twin/Double Room - Club Room,
single ,Other,Other,Other,Club,2 Single Club Nonsmoking,
twin ,Other,Other,Other,Club,Club Twin,
twin ,Other,Other,Other,Club,Club Twin Room,
twin ,Other,Other,Other,Club,Club Twin Room With View,
twin ,Other,Other,Other,Club,Twin Club,
twin ,Other,Other,Other,Club,Twin Club Room Plus,
twin ,Other,Other,Towers,Club,Twin Club Towers View,
twin ,Other,Other,Other,Club,Twin Royal Club,
Other,Other,Other,Other,Club,Club,
Other,Other,Other,Other,Club,Club Room With Club Benefits,
Other,Other,Other,Other,Club,Club Twin Towers View,
Other,Other,Other,Other,Club,Club With Club Benefits,
Other,king ,Other,Garden,Club,Club Garden View King,
Other,king ,Other,Other,Club,Club King,
Other,king ,Other,Other,Club,Club King Room,
Other,king ,Other,Other,Club,Club King View,
Other,king ,Other,Other,Club,"Club Room, 1 King Bed, Smoking",
Other,king ,Other,Other,Club,Club Tower King Room,
Other,king ,Other,Other,Club,Double Room King Bed - Club Room,
Other,queen ,suite ,Other,Club Junior Suite,Club Junior Suite With Queen Bed - Club Lounge Access For Adults Only,
Other,king ,suite ,Other,Club Junior Suite,Club Junior Suite With King  - Club Lounge Access For Adults Only,
Other,queen ,suite ,Other,Club Junior Suite,Club Junior Suite With Queen - Club Lounge Access For Adults Only,
Other,king ,suite ,Other,Club Junior Suite,Club Junior Suite With King Bed - Club Lounge Access For Adults Only,
Other,queen ,suite ,Other,Club Junior Suite,Club Junior Suite With Queen – Club,
Other,king ,suite ,Other,Club Junior Suite,Club Junior Suite With King Bed – Club,
Other,queen ,suite ,Other,Club Junior Suite,Club Junior Suite With Queen Bed,
Other,king ,suite ,Other,Club Junior Suite,Club Junior Suite With King – Club,
Other,queen ,suite ,Other,Club Junior Suite,Club Junior Suite With Queen,
Other,king ,suite ,Other,Club Junior Suite,Club Junior Suite With King Bed,
Other,queen ,premier ,Other,Club Premier,Club Room - Premier,
twin ,Other,premier ,Other,Club Premier,Twin Room - Club Room - Premier,
double  ,Other,premier ,Other,Club Premier,Double - Club Premier ,
single ,Other,premier ,Other,Club Premier,Single Orchid Club Premier,
Other,queen ,premier ,Other,Club Premier,Club - Premier,
twin ,Other,premier ,Other,Club Premier,Twin Room - Club  - Premier,
double  ,Other,premier ,Other,Club Premier,Double - Club Premier Room,
Other,Other,premier ,Other,Club Premier,Orchid Club Premier,
double twin ,king ,premier ,Other,Club Premier,Twin/Double King Room - Club Room - Premier,
double twin ,queen ,premier ,Other,Club Premier,Twin/Double Queen Room - Club Room - Premier,
double twin ,Other,premier ,Other,Club Premier,Twin/Double Room - Club Room - Premier,
double twin  ,Other,premier ,Other,Club Premier,Twin/Double Orchid Club Premier ,
twin ,Other,premier ,Other,Club Premier,Twin Orchid Club Premier,
double twin ,Other,deluxe ,Other,Corporate Deluxe,Twin/Double Room Corporate Deluxe,
Other,Other,deluxe ,Other,Corporate Deluxe,Corporate Deluxe Hotel,
single twin ,Other,executive suite ,Other,Corporate Executive Suite,Corporate Executive Suite Single/Double Room,
Other,Other,executive suite ,Other,Corporate Executive Suite,Corporate Executive Suite Hotel,
double ,Other,deluxe ,Other,Corporate Deluxe,Double Room Corporate Deluxe,
Other,Other,deluxe ,Other,Corporate Deluxe,Corporate Deluxe Hotels,
double twin ,Other,executive suite ,Other,Corporate Executive Suite,Corporate Executive Suite Twin/Double Room,
Other,Other,executive suite ,Other,Corporate Executive Suite,Corporate Executive Suite room Hotel ,
double ,Other,executive suite ,Other,Corporate Executive Suite,Corporate Executive Suite Double Room,
twin ,Other,executive suite ,Other,Corporate Executive Suite,Corporate Executive Suite Twin Room,
double twin ,Other,deluxe ,Other,Corporate Deluxe,Twin/Double Corporate Deluxe,
double twin ,Other,deluxe ,Other,Corporate Deluxe,Twin/Double room Corporate Deluxe,
double twin ,Other,deluxe ,Other,Corporate Deluxe,Twin/Double rooms Corporate Deluxe,
Other,Other,deluxe ,Other,Corporate Deluxe,Corporate Deluxe,
double twin ,Other,executive suite ,Other,Corporate Executive Suite,Corporate Executive Suite Twin/Double,
Other,Other,executive suite ,Other,Corporate Executive Suite,Corporate Executive Suite,
double ,Other,Other,Other,Deluxe,De Luxe Double Bed Room,
double ,Other,Other,Other,Deluxe,Deluxe - Double,
double ,Other,Other,Other,Deluxe,Deluxe Double,
double ,Other,Other,Other,Deluxe,Deluxe Double Room,
double ,Other,Other,Other,Deluxe,"Deluxe Double Room, 1 Queen Bed",
double ,Other,Other,City,Deluxe,"Deluxe Double Room, City View",
double ,Other,Other,Other,Deluxe,"Deluxe Double Room, No Windows",
double ,Other,Other,Other,Deluxe,Deluxe Double Window,
double ,Other,Other,Other,Deluxe,"Deluxe Room, 1 Double Bed",
double ,Other,Other,Other,Deluxe,"Deluxe Zen Double, 1 Queen Bed",
double ,Other,Other,Other,Deluxe,Double Deluxe,
double ,Other,Other,Other,Deluxe,Double Luxe,
double ,Other,Other,Other,Deluxe,Double Luxe-Crib,
double ,Other,Other,Other,Deluxe,Double Room - Deluxe,
double ,Other,Other,Other,Deluxe,Double Room Deluxe,
double ,Other,Other,Other,Deluxe,Double Twin-Tower View Deluxe,
double ,king ,Other,Other,Deluxe,Double Deluxe King,
double ,king ,Other,Other,Deluxe,Double Deluxe King Bed,
double ,king ,Other,Other,Deluxe,Double Room King Bed - Deluxe,
double ,king ,Other,Other,Deluxe,Deluxe Double Or King Room,
double single ,Other,Other,Other,Deluxe,"Deluxe Room, 1 Double Or 2 Single Bed",
double single ,Other,Other,Other,Deluxe,"Deluxe Room, 1 Double Or 2 Single Beds",
double single ,Other,Other,Other,Deluxe,"Deluxe Room, 1 Double Or 2 Single Beds With Big Window",
double single ,Other,Other,Other,Deluxe,Deluxe Single / Double,
double single ,Other,Other,Other,Deluxe,Deluxe Single Or Double Room,
double twin ,Other,Other,Other,Deluxe,Deluxe (Double Or Twin Bed),
double twin ,Other,Other,Other,Deluxe,Deluxe Double Or Twin,
double twin ,Other,Other,Other,Deluxe,Deluxe Double Or Twin Bed,
double twin ,Other,Other,City,Deluxe,"Deluxe Double Or Twin Room, City View",
double twin ,Other,Other,Other,Deluxe,Deluxe Double/Twin,
double twin ,Other,Other,Other,Deluxe,Double Or Twin Deluxe,
double twin ,Other,Other,Other,Deluxe,Twin/double Room - Deluxe,
double twin ,Other,Other,Other,Deluxe,Twin/Double Room - Deluxe - Balcony,
double twin ,Other,Other,Other,Deluxe,Twin/Double Room - Deluxe - Tower,
single ,Other,Other,Other,Deluxe,2 Single Beds Deluxe,
single ,Other,Other,Other,Deluxe,2 Single Deluxe Smoking,
single ,Other,Other,Other,Deluxe,Deluxe 2 Single Beds,
single ,Other,Other,Other,Deluxe,Deluxe Room 2 Single Beds,
single ,Other,Other,Other,Deluxe,"Deluxe Room, 2 Single Beds",
single ,Other,Other,Other,Deluxe,Deluxe Single,
single ,Other,Other,Other,Deluxe,Deluxe Single Room,
twin ,king ,Other,Other,Deluxe,Corporate Deluxe King Or Twin,
twin ,king ,Other,Other,Deluxe,Deluxe King Or Twin Room With Window,
twin ,king ,Other,Other,Deluxe,Deluxe Twin/King,
twin ,Other,deluxe ,Other,Deluxe,Twin Deluxe Plus,
Other,Other,Other,Other,Deluxe,*Deluxe,
Other,Other,Other,Other,Deluxe,1 Bedroom Deluxe,
Other,Other,Other,Other,Deluxe,Deluxe,
Other,Other,Other,Other,Deluxe,Deluxe - No Window,
Other,Other,Other,Other,Deluxe,Deluxe Balcony Room,
Other,Other,Other,Other,Deluxe,Deluxe No Window,
Other,Other,Other,Other,Deluxe,Deluxe One Bedroom Studio,
Other,Other,Other,Other,Deluxe,Deluxe Plus Room - Room Only (Bar).,
Other,Other,Other,Other,Deluxe,Deluxe Plus Room - Room With Breakfast (Bar),
Other,Other,Other,Other,Deluxe,Deluxe Room,
Other,Other,Other,Other,Deluxe,Deluxe Room (Newly Renovated!),
Other,Other,Other,Other,Deluxe,Deluxe Room (Newly Renovated),
Other,Other,Other,Other,Deluxe,Deluxe Room (No View) - Room Only (Bar),
Other,Other,Other,Other,Deluxe,Deluxe Room (No View) - Room With Breakfast (Bar),
Other,Other,Other,Sea,Deluxe,Deluxe Room (Non Seaview),
Other,Other,Other,Towers,Deluxe,Deluxe Room (Twin Tower View),
Other,Other,Other,Other,Deluxe,Deluxe Room - Klcc View,
Other,Other,Other,Other,Deluxe,Deluxe Room Bbf - Klcc View,
Other,Other,Other,Other,Deluxe,Deluxe Room With Breakfast,
Other,Other,Other,Other,Deluxe,Deluxe Room With Window,
Other,Other,Other,Other,Deluxe,"Deluxe Room, 1 Bedroom",
Other,Other,Other,City,Deluxe,"Deluxe Room, City View",
Other,Other,Other,Other,Deluxe,"Deluxe Room, Connecting Rooms",
Other,Other,Other,Other,Deluxe,"Deluxe Room, Non Smoking",
Other,Other,Other,Sea,Deluxe,"Deluxe Room, Sea View",
Other,Other,Other,Towers,Deluxe,"Deluxe Room, View (Twin Towers)",
Other,Other,Other,Other,Deluxe,Deluxe Room.,
Other,Other,Other,Towers,Deluxe,Deluxe Twin Towers View,
Other,Other,Other,Other,Deluxe,Deluxe With Breakfast,
Other,Other,Other,Other,Deluxe,Deluxe With Window,
Other,Other,Other,Other,Deluxe,Deluxe.,
Other,Other,Other,Other,Deluxe,Luxe,
Other,Other,Other,Other,Deluxe,Luxe Room,
Other,king ,Other,Other,Deluxe,Deluxe (King),
Other,king ,Other,Other,Deluxe,Deluxe King,
Other,king ,Other,Other,Deluxe,Deluxe King - 4 Hours,
Other,king ,Other,Other,Deluxe,Deluxe King Room,
Other,king ,Other,Other,Deluxe,Deluxe Room 1 King Bed,
Other,king ,Other,Other,Deluxe,Deluxe Room Renovated - King Bed (Ns),
Other,king ,Other,Other,Deluxe,"Deluxe Room, 1 King Bed",
Other,king ,Other,Other,Deluxe,"Deluxe Room, 1 King Bed / 2 Single Beds(Orchid)",
Other,king ,Other,City,Deluxe,"Deluxe Room, 1 King Bed, City View",
Other,king ,Other,Garden,Deluxe,"Deluxe Room, 1 King Bed, Garden View",
Other,king ,Other,Other,Deluxe,King Deluxe,
Other,king ,Other,Towers,Deluxe,Traders Twin Towers King,
Other,king ,Other,Other,Deluxe,Traders Twin Towers View 1 King,
Other,queen ,Other,Other,Deluxe,Corporate Deluxe Queen,
Other,queen ,Other,Other,Deluxe,Deluxe Queen,
Other,queen ,Other,Other,Deluxe,Deluxe Queen Room,
Other,queen ,Other,Other,Deluxe,Deluxe Queen Room With Window,
Other,queen ,Other,Other,Deluxe,Deluxe Queen Room Without Window,
Other,queen ,Other,Other,Deluxe,Deluxe Queen.,
Other,queen ,Other,Other,Deluxe,"Deluxe Room, 1 Queen Bed",
Other,queen ,Other,Other,Deluxe,Queen/Queen - Deluxe,
Other,Other,Other,Other,Deluxe,Deluxe Standard,
Other,Other,Other,Other,Deluxe,Deluxe Chalet,
double ,Other,deluxe ,Other,Deluxe Club,Double Club Deluxe,
double twin ,Other,deluxe ,Other,Deluxe Club,Double Or Twin Club Deluxe,
double twin ,Other,deluxe ,Other,Deluxe Club,Twin/double Room - Deluxe - Club Room,
twin ,king ,deluxe ,Other,Deluxe Club,Club Deluxe King Or Twin,
twin ,Other,deluxe ,Other,Deluxe Club,Twin Club Deluxe,
Other,king ,deluxe ,Other,Deluxe Club,Club Deluxe King Room,
Other,king ,deluxe ,Other,Deluxe Club,Club Deluxe Room With King Bed - Club Lounge Access For Adults Only,
Other,king ,deluxe suite ,Other,Deluxe Duplex Suite,Deluxe Duplex Suite King Bed,
double ,Other,deluxe executive ,Other,Deluxe Executive,Double Deluxe Executive Club,
double ,Other,deluxe executive ,Other,Deluxe Executive,Double Deluxe Executive,
double ,Other,deluxe executive ,Other,Deluxe Executive,Double Room - Executive - Deluxe,
double twin ,Other,deluxe executive ,Other,Deluxe Executive,Twin/Double Room - Deluxe - Executive,
twin ,Other,deluxe executive ,Other,Deluxe Executive,Executive Deluxe Twin,
twin ,Other,deluxe executive ,Other,Deluxe Executive,Twin Deluxe Executive,
twin ,Other,deluxe executive ,Other,Deluxe Executive,Twin Deluxe-Executive,
twin ,Other,deluxe executive ,Other,Deluxe Executive,Twin Executive Deluxe,
twin ,Other,deluxe executive ,Other,Deluxe Executive,Twin Lady Astor And Executive Deluxe,
twin ,Other,deluxe executive ,City,Deluxe Executive,Twin Room - Deluxe - Executive - City View,
twin ,Other,deluxe executive ,Other,Deluxe Executive,Twin Room - Executive - Deluxe,
Other,Other,deluxe executive ,Other,Deluxe Executive,Deluxe Executive,
Other,king ,deluxe executive ,City,Deluxe Executive,Double Room King Bed - Executive - City View,
Other,Other,deluxe executive quadruple ,Other,Deluxe Executive,Quadruple Room - Deluxe - Executive,
Other,Other,deluxe executive ,Other,Deluxe Executive,Triple Room - Deluxe - Executive,
Other,Other,deluxe executive suite ,Other,Deluxe Executive Suite,Executive Deluxe Suite,
Other,Other,deluxe ,Other,Deluxe Family,Deluxe 4 Bed Family Room,
Other,Other,deluxe ,Other,Deluxe Family,Deluxe Family,
Other,Other,deluxe ,Other,Deluxe Family,Deluxe Family Room,
Other,Other,deluxe ,Other,Deluxe Penthouse,Deluxe Penthouse,
Other,Other,deluxe ,Other,Deluxe Penthouse,Penthouse Deluxe,
double twin ,Other,premier ,Other,Deluxe Premier,Double Or Twin Deluxe Premier,
double twin ,Other,premier ,Other,Deluxe Premier,Twin/Double Room - Deluxe - Premier,
double twin ,Other,premium ,Other,Deluxe Premier,Double Or Twin Deluxe Premium,
double twin ,Other,premium ,Other,Deluxe Premier,Twin/Double Room - Premium - Deluxe,
twin ,Other,premier ,Other,Deluxe Premier,Premier Deluxe Twin Room,
Other,Other,premium ,Other,Deluxe Premier,Deluxe Premium,
Other,Other,premium ,Other,Deluxe Premier,Deluxe Premium.,
Other,Other,premium ,Other,Deluxe Premier,Premium Deluxe,
Other,Other,quadruple ,City,Deluxe Premier,"Deluxe Quadruple Room, 2 Double Beds, Accessible, City View",
double twin ,Other,Other,Other,Deluxe Studio,"Deluxe Studio, 1 Double Or 2 Single Beds",
double twin ,Other,Other,Other,Deluxe Studio,Double Or Twin Deluxe Studio,
double twin ,Other,Other,Other,Deluxe Studio,Double Or Twin Deluxe-Studio,
single ,Other,Other,Other,Deluxe Studio,"Deluxe Studio, 2 Single Beds",
twin ,Other,deluxe ,Other,Deluxe Studio,Deluxe Studio Twin,
twin ,Other,deluxe ,Other,Deluxe Studio,Deluxe Twin Studio,
twin ,Other,deluxe ,Other,Deluxe Studio,Studio Deluxe Twin,
Other,Other,Other,Other,Deluxe Studio,Deluxe Studio,
Other,Other,Other,Other,Deluxe Studio,Deluxe Studio (Type B),
Other,Other,Other,Other,Deluxe Studio,"Deluxe Studio, 2 Single Beds",
Other,Other,deluxe suite ,Other,Deluxe Studio Suite,Deluxe Studio Suite,
double ,Other,suite ,Other,Deluxe Suite,Double Deluxe Suite,
double ,Other,suite ,Other,Deluxe Suite,Double Deluxe-Suite,
triple ,Other,suite ,Other,Deluxe Suite,Triple Luxe Suite,
triple ,Other,superior ,Other,Deluxe,Superior Deluxe Triple,
triple ,Other,deluxe ,Other,Deluxe,Deluxe Room (Triple),
triple ,Other,deluxe ,Other,Deluxe,Deluxe Triple,
triple ,Other,deluxe ,Other,Deluxe,Deluxe Triple Room,
triple ,Other,deluxe ,Other,Deluxe,Triple Room – Deluxe,
triple double single ,Other,deluxe ,Other,Deluxe,Deluxe Triple - 1 Double Bed And 1 Single Bed,
twin ,Other,deluxe ,Other,Deluxe,Deluxe Room Renovated - Twin Bed (Ns),
twin ,Other,deluxe ,Other,Deluxe,"Deluxe Room, 2 Twin Beds",
twin ,Other,deluxe ,Other,Deluxe,Deluxe Twin,
twin ,Other,deluxe ,Other,Deluxe,Deluxe Twin (1 Queen And 1 Single),
twin ,Other,deluxe ,City,Deluxe,Deluxe Twin Room,
twin ,Other,deluxe ,Other,Deluxe,"Deluxe Twin Room, City View",
twin ,Other,deluxe ,Other,Deluxe,Deluxe Twin Towers View Twin,
twin ,Other,deluxe ,Other,Deluxe,Deluxe Zen Twin,
twin ,Other,deluxe ,Other,Deluxe,Deluxe/Twin,
twin ,Other,deluxe ,Other,Deluxe,Twin Deluxe,
twin ,Other,deluxe ,Other,Deluxe,Twin Luxe,
twin ,Other,deluxe ,Other,Deluxe,Twin Room - Deluxe,
twin ,Other,deluxe ,Other,Deluxe,Twin Room - Deluxe - Tower,
Other,Other,suite ,Other,Deluxe Suite,Deluxe Suite,
Other,Other,suite ,Other,Deluxe Suite,"Deluxe Suite, 1 Bedroom",
Other,Other,suite ,Other,Deluxe Suite,"Deluxe Suite, 3 Bedrooms, Kitchenette",
Other,Other,suite ,Other,Deluxe Suite,Suite - Deluxe,
Other,Other,suite ,Other,Deluxe Suite,Suite Deluxe,
Other,Other,suite ,Other,Deluxe Suite,Suite Deluxe-Suite,
Other,king ,suite ,Other,Deluxe Suite,Deluxe Suite With King Bed,
Other,Other,deluxe ,Other,Deluxe Villa,Deluxe Villa With Breakfast,
Other,Other,deluxe ,Garden,Deluxe Villa,"Deluxe Villa, 1 Double Bed, Garden View, Garden Area",
Other,Other,deluxe ,Other,Deluxe Villa,Villa - Deluxe,
Other,Other,deluxe VIP,Other,Deluxe VIP,Deluxe Vip,
Other,Other,suite ,Other,Diamond Suite,Diamond Suite,
Other,Other,Other,Other,Dormitory,Male Dormitory,
twin ,Other,Other,Other,Dormitory,Mixed Dormitory Twin,
twin ,Other,Other,Other,Dormitory,Mixed Dormitory Twin Room,
double ,Other,Other,Other,Dormitory,Mixed Dormitory Double,
double ,Other,Other,Other,Dormitory,Mixed Dormitory Double room,
double twin ,Other,Other,Other,Dormitory,Mixed Dormitory Twin/Double,
double twin ,Other,Other,Other,Dormitory,Mixed Dormitory Twin/Double Room,
double ,Other,Other,Other,Double,Double Room,
double ,Other,Other,Other,Double,Double Smoking,
double ,Other,Other,Towers,Double,Double Twin Tower View,
double ,Other,Other,Other,Double,Ground Floor Double Room,
double ,Other,Other,Other,Double,My Double Room,
double ,Other,Other,Other,Double,Upper Floor Double Room,
double ,king ,Other,Other,Double,Double - King Bed,
double ,king ,Other,Other,Double,Double King,
double ,king ,Other,Other,Double,Double King Bed Room,
double ,king ,Other,Other,Double,Double King Size Bed,
double ,king ,Other,Other,Double,Double Room King Bed,
double ,queen ,Other,Other,Double,"Double Room, 1 Queen Bed, Shared Bathroom",
double twin ,Other,Other,Other,Double,Comfort Double Or Twin Room,
double twin ,Other,Other,Other,Double,Double / Twin Room,
double twin ,Other,Other,Other,Double,Double Or Twin,
double twin ,Other,Other,Other,Double,Double Or Twin Room With Private Barthroom,
double twin ,Other,Other,Other,Double,Double Or Twin Room With Private Bathroom,
double twin ,Other,Other,Other,Double,Twin/Double Room,
double twin ,Other,Other,Other,Double,Twin/Double Room - No View,
triple ,Other,Other,Other,Duplex,Triple Duplex,
Other,Other,Duplex,Other,Duplex,Duplex 1 BedRoom,
Other,Other,Duplex,Other,Duplex,Duplex 2 Bed Room,
Other,Other,Duplex,Other,Duplex,Duplex Room,
Other,Other,Duplex quadruple ,Other,Duplex,Duplex Quadruple Room,
Other,Other,Duplex,Other,Duplex Family,Duplex Family (4 Adults),
Other,Other,Duplex suite ,Other,Duplex Family Suite,Duplex Family Suite,
Other,Other,Duplex Premium,Other,Duplex Premium,Duplex Premium Room,
Other,Other,Duplex suite ,Other,Duplex Royal Suite,Suite Royal Duplex,
Other,Other,Duplex suite ,Other,Duplex Standard Suite,Standard Duplex Suite,
twin ,Other,Duplex suite ,Other,Duplex Suite,Duplex Suite twin,
double ,Other,Duplex suite ,Other,Duplex Suite,One Bedroom Duplex Suite double,
twin ,Other,Duplex suite ,Other,Duplex Suite,Suite – Duplex twin,
double ,Other,Duplex suite ,Other,Duplex Suite,Suite Duplex Suite double,
twin ,Other,Duplex suite ,Other,Duplex Suite,Suite One Bedroom Duplex twin,
Other,king ,Duplex suite ,Other,Duplex Suite,"Duplex Suite, 1 King Bed ",
Other,Other,Duplex suite ,Other,Duplex Suite,Duplex Suite,
Other,Other,Duplex suite ,Other,Duplex Suite,One Bedroom Duplex Suite,
Other,Other,Duplex suite ,Other,Duplex Suite,Suite - Duplex,
Other,Other,Duplex suite ,Other,Duplex Suite,Suite Duplex Suite,
Other,Other,Duplex suite ,Other,Duplex Suite,Suite One Bedroom Duplex,
Other,king ,Duplex suite ,Other,Duplex Suite,"Duplex Suite, 1 King Bed",
twin ,Other,Other,Other,Economy,Economy Twin Room,
Other,queen ,Other,Other,Economy,Economy Queen Room,
double ,Other,executive ,Other,Executive,Double Room - Executive,
double ,Other,executive ,Other,Executive,Executive Double Room,
double ,Other,executive ,Other,Executive,"Executive Single Room, 1 Double Bed",
double ,king ,executive ,Other,Executive,Double Executive King Bed,
double single ,Other,executive ,Other,Executive,"Executive Room, 1 Double Or 2 Single Bed",
double twin ,Other,executive ,Other,Executive,Twin/double Room - Executive,
single ,king ,executive ,Other,Executive,"Executive Room Lounge Access, 1 King Or 2 Twin/ Single Bed(S), Mini Fridge, 30sq",
single ,Other,executive ,Other,Executive,Executive 2 Single Beds,
single ,Other,executive ,Other,Executive,Executive Room 2 Single Beds,
triple ,Other,executive ,Other,Executive,Executive Triple,
triple ,Other,executive ,Sea,Executive,"Executive Triple Room, Sea View",
twin ,Other,executive ,Other,Executive,"Executive Room, 2 Twin Beds",
Other,Other,executive ,Other,Executive,1 Bedroom Executive,
Other,Other,executive ,Other,Executive,Executive Room,
Other,Other,executive ,Sea,Executive,"Executive Room, Sea View",
Other,Other,executive ,Other,Executive,One Bedroom Executive,
Other,king ,executive ,Other,Executive,"Executive Room, 1 King Bed",
Other,king ,executive ,Other,Executive,"Executive Room, 1 King Bed, Business Lounge Access",
Other,Other,executive quadruple ,Other,Executive,Quadruple Executive,
Other,queen ,executive ,Other,Executive,Executive Queen,
Other,queen ,executive ,Other,Executive,Executive Queen Room,
Other,queen ,executive ,Other,Executive,Executive Room (Queen),
Other,Other,executive suite ,Other,Executive Apartment Suite,Executive Suite Apartment ,
Other,Other,executive suite ,Other,Executive Apartment Suite,Executive Suite Apartment room,
twin ,Other,executive suite ,Other,Executive Apartment Suite,Executive Suite Apartment twin,
double ,Other,executive suite ,Other,Executive Apartment Suite,Executive Suite Apartment double,
double twin ,Other,executive suite ,Other,Executive Apartment Suite,Executive Suite Apartment twin/double,
double twin ,Other,executive suite ,Other,Executive Apartment Suite,Executive Suite Apartment double/twin,
double twin ,Other,executive suite ,Other,Executive Apartment Suite,Executive Suite Apartment twin/double room,
double twin ,Other,executive suite ,Other,Executive Apartment Suite,Executive Suite Apartment double/twin room,
twin ,queen ,executive classic ,Other,Executive Classic,Executive Classic Twin queen room,
Other,king ,executive classic ,Other,Executive Classic,Executive Classic double/twin room,
double twin ,Other,executive classic ,Other,Executive Classic,Executive Classic double/twin,
double,king ,executive classic ,Other,Executive Classic,Executive Classic King double room,
twin ,queen ,executive classic ,Other,Executive Classic,Executive Classic Twin queen,
Other,king ,executive classic ,Other,Executive Classic,Executive Classic double King room,
twin ,Other,executive classic ,Other,Executive Classic,Executive Classic Twin room,
Other,king ,executive classic ,Other,Executive Classic,Executive Classic King room,
double twin ,Other,executive classic ,Other,Executive Classic,Executive Classic Twin/double,
double,king ,executive classic ,Other,Executive Classic,Executive Classic King double room,
twin ,Other,executive classic ,Other,Executive Classic,Executive Classic Twin,
Other,king ,executive classic ,Other,Executive Classic,Executive Classic King,
double twin ,Other,executive ,Other,Executive Club,Double Or Twin Executive Club room,
double twin ,Other,executive ,Other,Executive Club,Twin/Double Room - Club Room – Executive room,
Other,king ,executive ,Other,Executive Club,Double Room King Bed - Executive - Club Room,
Other,king ,executive ,Other,Executive Club,Executive Club King room,
double twin ,Other,executive ,Other,Executive Club,Double Twin Executive Club,
double twin ,Other,executive ,Other,Executive Club,Twin/Double - Club Room - Executive,
